TSNE1,TSNE2,cluster,Provinsi
8.900711,-35.91831,2,Bali
20.846886,-37.73109,1,Banten
19.941956,-43.87536,0,Bengkulu
19.619362,-35.883385,1,DKI Jakarta
19.548172,-39.18219,1,Daerah Istimewa Yogyakarta
9.760802,-45.335823,0,Gorontalo
17.859074,-45.846035,0,Jambi
19.676596,-37.441067,1,Jawa Barat
17.914,-38.176517,0,Jawa Tengah
18.844193,-44.08181,0,Jawa Timur
18.020348,-40.176483,0,Kalimantan Barat
17.833244,-43.017925,0,Kalimantan Selatan
15.027993,-40.916027,0,Kalimantan Tengah
19.159994,-43.101322,0,Kalimantan Timur
15.163125,-44.298775,0,Kalimantan Utara
14.121541,-41.30516,0,Kepulauan Bangka Belitung
16.089869,-39.811733,0,Kepulauan Riau
16.81281,-41.15976,0,Lampung
10.028174,-45.29894,0,Maluku
13.006427,-39.871674,0,Maluku Utara
15.873694,-36.958096,0,Nusa Tenggara Barat
9.034314,-41.935097,0,Nusa Tenggara Timur
7.9466896,-43.59763,3,Papua
6.38692,-42.89422,3,Papua Barat
6.919276,-41.906395,3,Papua Barat Daya
5.169512,-42.173923,3,Papua Pegunungan
7.493126,-44.80591,3,Papua Selatan
8.859024,-35.872936,2,Papua Tengah
10.079029,-41.543343,0,Riau
14.238195,-37.53633,0,Sulawesi Barat
14.4586935,-40.220566,0,Sulawesi Selatan
12.821165,-37.419228,0,Sulawesi Tengah
15.79407,-41.45881,0,Sulawesi Tenggara
14.13638,-42.612167,0,Sulawesi Utara
18.161757,-42.108757,0,Sumatera Barat
15.840092,-43.290398,0,Sumatera Selatan
9.515512,-40.616943,0,Sumatera Utara
47.95539,-0.4673452,0,Aceh
41.640896,-10.337355,2,Bali
37.343834,-7.096601,1,Banten
45.23804,-8.772859,0,Bengkulu
36.18151,-3.886716,1,DKI Jakarta
37.788345,-6.200893,1,Daerah Istimewa Yogyakarta
50.41034,-1.4755315,3,Gorontalo
43.05085,-5.4049644,0,Jambi
38.74944,-5.560519,1,Jawa Barat
39.68262,-5.8764014,0,Jawa Tengah
40.63466,-5.979843,0,Jawa Timur
42.50207,-2.7222238,0,Kalimantan Barat
42.467888,-3.8023016,0,Kalimantan Selatan
44.824757,-1.2883034,0,Kalimantan Tengah
41.862923,-4.9586844,0,Kalimantan Timur
47.290367,-7.262349,0,Kalimantan Utara
49.59616,-4.0255594,0,Kepulauan Bangka Belitung
