PC1,PC2,PC3,cluster,Provinsi
-3.0888521056967875,0.5960410416645949,-0.09712359798605996,3,Aceh
-3.0951273094954104,0.06161713423042414,0.34252729718245545,2,Bali
-3.10782702840379,-0.3092445034116338,-0.8640663524520434,1,Banten
-3.099343736318815,8.930705675425088e-06,0.373180594744091,2,Bengkulu
-3.108471936633123,-0.2619319741395749,0.05075556328413644,0,DKI Jakarta
-3.100186822208343,-0.44486851357136104,-0.11050101228639297,0,Daerah Istimewa Yogyakarta
-3.0911870082634323,0.0452005019495374,0.09367452325001036,0,Gorontalo
-3.0941857993166195,0.21386683696717412,-0.026368430775649876,0,Jambi
-3.106946011814898,-0.324003760796046,-0.4574259640126078,1,Jawa Barat
-3.0975325555141353,-0.2825243278253069,-0.06587372870282981,0,Jawa Tengah
-3.097290003414628,-0.29496912616087556,-0.01756220379104756,0,Jawa Timur
-3.090550499964138,0.02298458609658738,-0.04393027668270022,0,Kalimantan Barat
-3.0969688747932196,-0.22474657936640696,0.05965353075534885,0,Kalimantan Selatan
-3.0958211908009616,-0.06973610870138813,0.004996372571955732,0,Kalimantan Tengah
-3.096087185102533,-0.19387561101007122,-0.04105757887885231,0,Kalimantan Timur
-3.096770998524107,-0.23633227188735972,0.16214870229891554,0,Kalimantan Utara
-3.089353237479827,0.442098193197797,0.13715557810882095,3,Kepulauan Bangka Belitung
-3.094119704282548,0.02960257696974722,0.03650410534710036,0,Kepulauan Riau
-3.0993509243007793,-0.22065030827550203,-0.030302963694853746,1,Lampung
-3.093875086947264,0.11320091169534763,0.08711531479212098,0,Maluku
-3.093847128625839,0.09643093006231851,0.054955784142506015,0,Maluku Utara
-3.101375295204889,-0.17377817135848161,0.06374050248160845,0,Nusa Tenggara Barat
-3.0899234451358097,0.2667634986972942,0.10967090382092226,0,Nusa Tenggara Timur
-3.0923930875037513,0.3551833445113388,0.06723034522750226,0,Papua
-3.10038793947092,0.3727914509905794,0.08334322016204943,3,Papua Barat
-3.0940707083930192,0.14865433110801973,-0.22153895218419917,1,Riau
-3.1005601858130376,-0.3021455296454114,0.06661307032703967,0,Sulawesi Barat
-3.095757581343605,-0.008045838537135808,0.04234144793000594,0,Sulawesi Selatan
-3.0912614370115534,0.22520460083114813,0.12499632727184073,0,Sulawesi Tengah
-3.0954773896189636,0.005446075654223392,0.2817692201692197,0,Sulawesi Tenggara
-3.091558492513059,0.0653869194553316,-0.03457098515184309,0,Sulawesi Utara
-3.096362584099097,-0.15080405558403598,0.09749411508220929,0,Sumatera Barat
-3.1026513852432345,-0.4104025115929453,-0.25058272747897326,1,Sumatera Selatan
-3.0944147959930888,0.06673088880486233,0.14081827062129226,0,Sumatera Utara
-2.0844296345483144,0.7711512638238958,-0.14814627455678375,3,Aceh
-2.0928452691841812,0.1984287291035045,0.5575933712186505,2,Bali
-2.1117404446729324,-0.4987363871473107,-0.47822959078572336,1,Banten
-2.097914003763208,-0.17240919361322327,0.12725046401773943,0,Bengkulu
-2.108210270053405,-0.4787750858514528,-0.4301017776012511,1,DKI Jakarta
-2.0988426413175603,-0.440736286307736,-0.09471756647469554,0,Daerah Istimewa Yogyakarta
-2.095597110903327,-0.20448793952017397,0.1565341909965141,0,Gorontalo
-2.0917282779123525,0.2540099541056584,-0.004928699448528584,0,Jambi
-2.1009839619107424,-0.3255588382615464,-0.17022474615950267,1,Jawa Barat
-2.0961389157116628,-0.1273856485193008,-0.04467375324722889,0,Jawa Tengah
-2.0974150605120485,-0.30679115300702264,0.005160869340828489,0,Jawa Timur
-2.0927052081776765,-0.09097403534558168,-0.03685023182482894,0,Kalimantan Barat
-2.09381906540375,-0.19944350321891946,0.02813807692899506,0,Kalimantan Selatan
-2.0944153463124167,-0.03556186925472815,0.04716590515317931,0,Kalimantan Tengah
-2.096781570917301,-0.22769898814950906,0.028241028501347354,0,Kalimantan Timur
-2.0999220255887394,-0.2964577992524582,0.04414790653708334,0,Kalimantan Utara
-2.0972192806875682,0.024482509125665075,0.10225889700064406,0,Kepulauan Bangka Belitung
-2.0951282866749352,-0.017773452939788825,0.03831392749421436,0,Kepulauan Riau
-2.0930934421737675,0.04542614828622504,0.16316630995607995,0,Lampung
-2.087343905170428,0.47728503508770004,-0.10234528339636206,3,Maluku
-2.0964767764344288,-0.06425151701008502,0.14995414501011417,0,Maluku Utara
-2.0903201959774833,0.33624533491947517,-0.13180152310042925,3,Nusa Tenggara Barat
-2.092277643542957,0.17917059880634767,0.015235045099594391,0,Nusa Tenggara Timur
-2.087664353791979,0.3912245823508371,0.0683493076920253,3,Papua
-2.094828563844203,0.26028403958184043,-0.08330132909281496,0,Papua Barat
-2.0775544979621827,0.7597233799157692,-0.20053323900592845,3,Riau
-2.0910925687560393,0.04536325334198921,0.09741105252909998,0,Sulawesi Barat
-2.09539797320258,-0.007542780824316253,0.0628092187838899,0,Sulawesi Selatan
-2.0959535681570287,-0.05409301092439733,-0.009423731626302168,0,Sulawesi Tengah
-2.0965027756628842,-0.05278752740038328,0.08201300350299767,0,Sulawesi Tenggara
-2.0958195760617855,-0.052646091260733385,-0.1548231009284199,0,Sulawesi Utara
-2.0948584453565218,-0.1468826545451556,0.12389108265859561,0,Sumatera Barat
-2.098473072153638,-0.24116587530320643,-0.05013783624831425,0,Sumatera Selatan
-2.0966831929165437,-0.1182942705300789,0.1416375865014331,0,Sumatera Utara
-1.09055130998604,0.39578516370860584,-0.00536828424495972,3,Aceh
-1.0951853566398313,0.08907479219474723,0.4454437244879562,2,Bali
-1.106155602450599,-0.4031284502563359,-0.4702975295975377,1,Banten
-1.0990052036531779,-0.13047166548712497,0.4058729911695038,2,Bengkulu
-1.0963444202150185,-0.47169563658290414,-0.4383704460032397,1,DKI Jakarta
-1.0962352681183347,-0.2125952222944214,-0.1226449336115707,0,Daerah Istimewa Yogyakarta
-1.077163979746274,0.9798522249600303,-0.38756649871882776,3,Gorontalo
-1.1051507675176708,-0.13312819038101864,-0.18432096452596614,0,Jambi
-1.1011883713138104,-0.33140257143118745,-0.28511250234145946,1,Jawa Barat
-1.0976618537083596,-0.1658530752437528,-0.07464866073795806,0,Jawa Tengah
-1.0995861276419419,-0.2543321564047325,-0.0375419613888438,0,Jawa Timur
-1.0973418756284445,-0.25776868704404166,-0.005091206007285187,0,Kalimantan Barat
-1.0976941457422527,-0.2467521422384351,0.060574187924238965,0,Kalimantan Selatan
-1.0920238251023875,0.06783343481187742,0.033693070573196815,0,Kalimantan Tengah
-1.0957688631392557,-0.19750191454433974,0.040730864240051234,0,Kalimantan Timur
-1.0966782858729403,-0.31971925690698555,0.16748480669138,0,Kalimantan Utara
-1.0937220124251326,0.16897351002161898,-0.034942084113186334,0,Kepulauan Bangka Belitung
-1.0927351965622165,0.18813277931623062,-0.03453839373168399,0,Kepulauan Riau
-1.0938619891712733,0.0435935914151635,0.02591410123898441,0,Lampung
-1.0886228260089865,0.5063032267546212,0.02222802822364789,3,Maluku
-1.0952061486682396,0.10790728025937923,0.16604160992526806,0,Maluku Utara
-1.0918125602008786,0.14893753868112114,-0.13530805984214367,0,Nusa Tenggara Barat
