frcm_iter,refine_objective
1,38.013808724637514
2,37.72193176543779
3,37.185498685683996
4,37.06559725192855
5,37.060964884345324
6,37.06071239599551
7,37.060630776995005
8,37.0605817646654
9,37.06054514485511
10,37.0605151225792
11,37.06048961345621
12,37.060467652551104
13,37.06044865718883
14,37.060432202126634
15,37.060417944381825
16,37.060405594395476
17,37.06039490275852
18,37.06038565276211
19,37.060377655432546
20,37.06037074579074
21,37.06036477981132
22,37.06035963184159
23,37.060355192359296
24,37.06035136600214
25,37.060348069827384
26,37.060345231772
27,37.06034278929077
28,37.06034068815305
29,37.060338881381625
30,37.060337328318454
31,37.06033599380375
32,37.06033484745599
33,37.060333863041556
34,37.06033301792362
35,37.06033229258132
36,37.06033167019068
37,37.060331136259876
38,37.060330678312305
39,37.060330285611386
40,37.0603299489219
41,37.060329660303296
42,37.06032941293076
43,37.0603292009405
44,37.060329019296
45,37.060328863672694
46,37.060328730358265
47,37.060328616166906
48,37.06032851836518
49,37.060328434608394
50,37.060328362885684
51,37.06032830147284
52,37.06032824889168
53,37.06032820387516
54,37.060328165337395
55,37.06032813234788
56,37.06032810410932
57,37.060328079938735
58,37.060328059251034
59,37.06032804154512
60,37.06032802639179
61,37.06032801342353
62,37.06032800232563
