Tahun,Provinsi,label,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,region_type,nama_klaster,membership_dominan,kepastian
2020,Nusa Tenggara Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2020,Papua,3,0.4262505410389838,0.0,0.0,0.573749458961016,boundary,Klaster 4,0.5737,Boundary (0.57)
2020,Papua Barat,0,0.5211354546830824,0.0,0.0,0.4788645453169176,boundary,Klaster 1,0.5211,Boundary (0.52)
2020,Riau,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2020,Sulawesi Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2020,Sulawesi Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2020,Sulawesi Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2020,Sulawesi Tenggara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2020,Sulawesi Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2020,Sumatera Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2020,Sumatera Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2020,Sumatera Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Aceh,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2021,Bali,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower)
2021,Banten,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
2021,Bengkulu,2,0.4943043739825415,0.0,0.5056956260174585,0.0,boundary,Klaster 3,0.5057,Boundary (0.51)
2021,DKI Jakarta,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
2021,Daerah Istimewa Yogyakarta,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Gorontalo,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2021,Jambi,0,0.5569363107846985,0.4430636892153013,0.0,0.0,boundary,Klaster 1,0.5569,Boundary (0.56)
2021,Jawa Barat,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
2021,Jawa Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Jawa Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Kalimantan Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Kalimantan Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Kalimantan Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Kalimantan Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Kalimantan Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Kepulauan Bangka Belitung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Kepulauan Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Lampung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Maluku,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2021,Maluku Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Nusa Tenggara Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Nusa Tenggara Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Papua,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Papua Barat,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2021,Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Sulawesi Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Sulawesi Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Sulawesi Tengah,0,0.548362619957418,0.0,0.0,0.4516373800425819,boundary,Klaster 1,0.5484,Boundary (0.55)
2021,Sulawesi Tenggara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Sulawesi Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Sumatera Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Sumatera Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2021,Sumatera Utara,3,0.4522071038032705,0.0,0.0,0.5477928961967294,boundary,Klaster 4,0.5478,Boundary (0.55)
2022,Aceh,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Bali,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower)
2022,Banten,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
2022,Bengkulu,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,DKI Jakarta,0,0.5124375902326199,0.0,0.4875624097673801,0.0,boundary,Klaster 1,0.5124,Boundary (0.51)
2022,Daerah Istimewa Yogyakarta,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Gorontalo,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Jambi,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Jawa Barat,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
2022,Jawa Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Jawa Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Kalimantan Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Kalimantan Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Kalimantan Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Kalimantan Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Kalimantan Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Kepulauan Bangka Belitung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Kepulauan Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Lampung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Maluku,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Maluku Utara,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2022,Nusa Tenggara Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Nusa Tenggara Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2022,Papua,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2022,Papua Barat,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2022,Papua Barat Daya,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2022,Papua Pegunungan,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
