Tahun,Provinsi,Kolom,Tingkat,Sumber Data,Uji Normalitas,Metode,Nilai Isi
2025,Jambi,Timbulan Sampah Harian(ton),2,"provinsi Jambi, semua tahun",p=0.0002,"median (distribusi tidak normal, Shapiro-Wilk)",156.955
2025,Nusa Tenggara Barat,Timbulan Sampah Harian(ton),2,"provinsi Nusa Tenggara Barat, semua tahun",p=0.1139,"mean (distribusi normal, Shapiro-Wilk)",310.5495
2025,Papua,Timbulan Sampah Harian(ton),2,"provinsi Papua, semua tahun",p=0.0001,"median (distribusi tidak normal, Shapiro-Wilk)",58.57
2025,Papua Barat,Timbulan Sampah Harian(ton),2,"provinsi Papua Barat, semua tahun",p=0.0187,"median (distribusi tidak normal, Shapiro-Wilk)",156.67
2025,Papua Selatan,Timbulan Sampah Harian(ton),2,"provinsi Papua Selatan, semua tahun",p=0.0664,"mean (distribusi normal, Shapiro-Wilk)",47.4
2025,Papua Pegunungan,Timbulan Sampah Harian(ton),2,"provinsi Papua Pegunungan, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",113.0
2024,Papua Pegunungan,Timbulan Sampah Harian(ton),2,"provinsi Papua Pegunungan, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",113.0
2022,Papua Pegunungan,Timbulan Sampah Harian(ton),2,"provinsi Papua Pegunungan, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",113.0
2019,Nusa Tenggara Timur,Timbulan Sampah Harian(ton),2,"provinsi Nusa Tenggara Timur, semua tahun",p=0.0174,"median (distribusi tidak normal, Shapiro-Wilk)",110.51
2020,Bengkulu,Timbulan Sampah Harian(ton),2,"provinsi Bengkulu, semua tahun",p=0.1267,"mean (distribusi normal, Shapiro-Wilk)",134.535
2020,Sulawesi Tenggara,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Tenggara, semua tahun",p=0.0007,"median (distribusi tidak normal, Shapiro-Wilk)",91.0
2021,Banten,Timbulan Sampah Harian(ton),2,"provinsi Banten, semua tahun",p=0.0004,"median (distribusi tidak normal, Shapiro-Wilk)",614.97
2021,DKI Jakarta,Timbulan Sampah Harian(ton),2,"provinsi DKI Jakarta, semua tahun",p=0.0075,"median (distribusi tidak normal, Shapiro-Wilk)",1971.55
2021,Sulawesi Barat,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Barat, semua tahun",p=0.1292,"mean (distribusi normal, Shapiro-Wilk)",129.565
2022,Papua Barat Daya,Timbulan Sampah Harian(ton),2,"provinsi Papua Barat Daya, semua tahun",p=0.3743,"mean (distribusi normal, Shapiro-Wilk)",75.49
2022,Papua Tengah,Timbulan Sampah Harian(ton),2,"provinsi Papua Tengah, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",47.13
2022,Sulawesi Barat,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Barat, semua tahun",p=0.3561,"mean (distribusi normal, Shapiro-Wilk)",129.565
2023,Maluku Utara,Timbulan Sampah Harian(ton),2,"provinsi Maluku Utara, semua tahun",p=0.0041,"median (distribusi tidak normal, Shapiro-Wilk)",46.31
2023,Sulawesi Barat,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Barat, semua tahun",p=0.4390,"mean (distribusi normal, Shapiro-Wilk)",129.565
2024,Maluku Utara,Timbulan Sampah Harian(ton),2,"provinsi Maluku Utara, semua tahun",p=0.0009,"median (distribusi tidak normal, Shapiro-Wilk)",46.31
2024,Papua Barat Daya,Timbulan Sampah Harian(ton),2,"provinsi Papua Barat Daya, semua tahun",p=0.5897,"mean (distribusi normal, Shapiro-Wilk)",75.49
2024,Papua Tengah,Timbulan Sampah Harian(ton),2,"provinsi Papua Tengah, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",47.13
2025,Kalimantan Utara,Timbulan Sampah Harian(ton),2,"provinsi Kalimantan Utara, semua tahun",p=0.0002,"median (distribusi tidak normal, Shapiro-Wilk)",44.95
2025,Maluku Utara,Timbulan Sampah Harian(ton),2,"provinsi Maluku Utara, semua tahun",p=0.0002,"median (distribusi tidak normal, Shapiro-Wilk)",46.31
2025,Papua Tengah,Timbulan Sampah Harian(ton),2,"provinsi Papua Tengah, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",47.13
2025,Sulawesi Barat,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Barat, semua tahun",p=0.3704,"mean (distribusi normal, Shapiro-Wilk)",129.565
2025,Jambi,Sisa Makanan (%),2,"provinsi Jambi, semua tahun",p=0.0330,"median (distribusi tidak normal, Shapiro-Wilk)",38.325
2025,Nusa Tenggara Barat,Sisa Makanan (%),2,"provinsi Nusa Tenggara Barat, semua tahun",p=0.1430,"mean (distribusi normal, Shapiro-Wilk)",41.34
2025,Papua,Sisa Makanan (%),2,"provinsi Papua, semua tahun",p=0.0006,"median (distribusi tidak normal, Shapiro-Wilk)",17.5
2025,Papua Barat,Sisa Makanan (%),2,"provinsi Papua Barat, semua tahun",p=0.0041,"median (distribusi tidak normal, Shapiro-Wilk)",44.0
2025,Papua Selatan,Sisa Makanan (%),2,"provinsi Papua Selatan, semua tahun",p=0.1390,"mean (distribusi normal, Shapiro-Wilk)",20.8667
2025,Papua Pegunungan,Sisa Makanan (%),2,"provinsi Papua Pegunungan, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",22.0
2024,Kalimantan Selatan,Sisa Makanan (%),1,"provinsi Kalimantan Selatan, tahun 2024",p=0.5996,"mean (distribusi normal, Shapiro-Wilk)",46.608
2024,Papua Pegunungan,Sisa Makanan (%),2,"provinsi Papua Pegunungan, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",22.0
2023,Kalimantan Barat,Sisa Makanan (%),1,"provinsi Kalimantan Barat, tahun 2023",p=0.0011,"median (distribusi tidak normal, Shapiro-Wilk)",40.0
2022,Papua Pegunungan,Sisa Makanan (%),2,"provinsi Papua Pegunungan, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",22.0
2021,Sumatera Utara,Sisa Makanan (%),1,"provinsi Sumatera Utara, tahun 2021",p=0.7302,"mean (distribusi normal, Shapiro-Wilk)",29.4891
2021,Bali,Sisa Makanan (%),1,"provinsi Bali, tahun 2021",p=0.6491,"mean (distribusi normal, Shapiro-Wilk)",14.302
2020,Riau,Sisa Makanan (%),1,"provinsi Riau, tahun 2020",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",15.0
2020,Bali,Sisa Makanan (%),1,"provinsi Bali, tahun 2020",p=0.3119,"mean (distribusi normal, Shapiro-Wilk)",11.3025
2019,Sumatera Barat,Sisa Makanan (%),1,"provinsi Sumatera Barat, tahun 2019",p=0.5156,"mean (distribusi normal, Shapiro-Wilk)",47.5256
2019,Nusa Tenggara Timur,Sisa Makanan (%),2,"provinsi Nusa Tenggara Timur, semua tahun",p=0.0168,"median (distribusi tidak normal, Shapiro-Wilk)",29.0
2020,Bengkulu,Sisa Makanan (%),2,"provinsi Bengkulu, semua tahun",p=0.0993,"mean (distribusi normal, Shapiro-Wilk)",46.2594
2020,Sulawesi Tenggara,Sisa Makanan (%),2,"provinsi Sulawesi Tenggara, semua tahun",p=0.0076,"median (distribusi tidak normal, Shapiro-Wilk)",43.65
2021,Banten,Sisa Makanan (%),2,"provinsi Banten, semua tahun",p=0.0262,"median (distribusi tidak normal, Shapiro-Wilk)",42.615
2021,DKI Jakarta,Sisa Makanan (%),2,"provinsi DKI Jakarta, semua tahun",p=0.0138,"median (distribusi tidak normal, Shapiro-Wilk)",49.87
2021,Sulawesi Barat,Sisa Makanan (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.4981,"mean (distribusi normal, Shapiro-Wilk)",41.56
2022,Papua Barat Daya,Sisa Makanan (%),2,"provinsi Papua Barat Daya, semua tahun",p=0.2123,"mean (distribusi normal, Shapiro-Wilk)",25.4333
2022,Papua Tengah,Sisa Makanan (%),2,"provinsi Papua Tengah, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",10.0
2022,Sulawesi Barat,Sisa Makanan (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.5451,"mean (distribusi normal, Shapiro-Wilk)",41.56
2023,Maluku Utara,Sisa Makanan (%),2,"provinsi Maluku Utara, semua tahun",p=0.1036,"mean (distribusi normal, Shapiro-Wilk)",37.1086
2023,Sulawesi Barat,Sisa Makanan (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.3936,"mean (distribusi normal, Shapiro-Wilk)",41.56
2024,Maluku Utara,Sisa Makanan (%),2,"provinsi Maluku Utara, semua tahun",p=0.0807,"mean (distribusi normal, Shapiro-Wilk)",37.1086
2024,Papua Barat Daya,Sisa Makanan (%),2,"provinsi Papua Barat Daya, semua tahun",p=0.3961,"mean (distribusi normal, Shapiro-Wilk)",25.4333
2024,Papua Tengah,Sisa Makanan (%),2,"provinsi Papua Tengah, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",10.0
2025,Kalimantan Utara,Sisa Makanan (%),2,"provinsi Kalimantan Utara, semua tahun",p=0.0905,"mean (distribusi normal, Shapiro-Wilk)",46.545
2025,Maluku Utara,Sisa Makanan (%),2,"provinsi Maluku Utara, semua tahun",p=0.0492,"median (distribusi tidak normal, Shapiro-Wilk)",37.1086
2025,Papua Tengah,Sisa Makanan (%),2,"provinsi Papua Tengah, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",10.0
2025,Sulawesi Barat,Sisa Makanan (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.2023,"mean (distribusi normal, Shapiro-Wilk)",41.56
2025,Jambi,Kayu-Ranting (%),2,"provinsi Jambi, semua tahun",p=0.0522,"mean (distribusi normal, Shapiro-Wilk)",11.7719
2025,Kepulauan Bangka Belitung,Kayu-Ranting (%),2,"provinsi Kepulauan Bangka Belitung, semua tahun",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",13.78
2025,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2025",p=0.3412,"mean (distribusi normal, Shapiro-Wilk)",10.695
2025,Nusa Tenggara Barat,Kayu-Ranting (%),2,"provinsi Nusa Tenggara Barat, semua tahun",p=0.0197,"median (distribusi tidak normal, Shapiro-Wilk)",14.58
2025,Papua,Kayu-Ranting (%),2,"provinsi Papua, semua tahun",p=0.0001,"median (distribusi tidak normal, Shapiro-Wilk)",10.5
2025,Papua Barat,Kayu-Ranting (%),2,"provinsi Papua Barat, semua tahun",p=0.0246,"median (distribusi tidak normal, Shapiro-Wilk)",2.0
2025,Papua Selatan,Kayu-Ranting (%),2,"provinsi Papua Selatan, semua tahun",p=0.2536,"mean (distribusi normal, Shapiro-Wilk)",11.85
2025,Papua Pegunungan,Kayu-Ranting (%),2,"provinsi Papua Pegunungan, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",10.0
2024,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2024",p=0.1506,"mean (distribusi normal, Shapiro-Wilk)",12.3733
2024,Kepulauan Bangka Belitung,Kayu-Ranting (%),1,"provinsi Kepulauan Bangka Belitung, tahun 2024",p=0.4283,"mean (distribusi normal, Shapiro-Wilk)",9.625
2024,Jawa Tengah,Kayu-Ranting (%),1,"provinsi Jawa Tengah, tahun 2024",p=0.0002,"median (distribusi tidak normal, Shapiro-Wilk)",9.5
2024,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2024",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",1.8
2024,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2024",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",1.8
2024,Sulawesi Selatan,Kayu-Ranting (%),1,"provinsi Sulawesi Selatan, tahun 2024",p=0.0048,"median (distribusi tidak normal, Shapiro-Wilk)",11.215
2024,Sulawesi Selatan,Kayu-Ranting (%),1,"provinsi Sulawesi Selatan, tahun 2024",p=0.0024,"median (distribusi tidak normal, Shapiro-Wilk)",11.215
2024,Papua Pegunungan,Kayu-Ranting (%),2,"provinsi Papua Pegunungan, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",10.0
2023,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2023",p=0.1543,"mean (distribusi normal, Shapiro-Wilk)",11.8331
2023,Kepulauan Bangka Belitung,Kayu-Ranting (%),1,"provinsi Kepulauan Bangka Belitung, tahun 2023",p=0.2879,"mean (distribusi normal, Shapiro-Wilk)",8.875
2023,Jawa Barat,Kayu-Ranting (%),1,"provinsi Jawa Barat, tahun 2023",p=0.0048,"median (distribusi tidak normal, Shapiro-Wilk)",7.5
2023,Jawa Tengah,Kayu-Ranting (%),1,"provinsi Jawa Tengah, tahun 2023",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",7.87
2023,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2023",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",0.25
2023,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2023",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",0.25
2023,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2023",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",0.25
2023,Kalimantan Selatan,Kayu-Ranting (%),1,"provinsi Kalimantan Selatan, tahun 2023",p=0.4709,"mean (distribusi normal, Shapiro-Wilk)",4.889
2023,Sulawesi Tengah,Kayu-Ranting (%),1,"provinsi Sulawesi Tengah, tahun 2023",p=0.7161,"mean (distribusi normal, Shapiro-Wilk)",11.035
2023,Papua Barat,Kayu-Ranting (%),1,"provinsi Papua Barat, tahun 2023",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",15.0
2022,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2022",p=0.0431,"median (distribusi tidak normal, Shapiro-Wilk)",10.0
2022,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2022",p=0.0261,"median (distribusi tidak normal, Shapiro-Wilk)",10.0
2022,Jambi,Kayu-Ranting (%),1,"provinsi Jambi, tahun 2022",p=0.5329,"mean (distribusi normal, Shapiro-Wilk)",11.1825
2022,Kepulauan Bangka Belitung,Kayu-Ranting (%),1,"provinsi Kepulauan Bangka Belitung, tahun 2022",p=0.5249,"mean (distribusi normal, Shapiro-Wilk)",16.82
2022,Jawa Tengah,Kayu-Ranting (%),1,"provinsi Jawa Tengah, tahun 2022",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",6.0
2022,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2022",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",11.75
2022,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2022",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",11.75
2022,Nusa Tenggara Barat,Kayu-Ranting (%),1,"provinsi Nusa Tenggara Barat, tahun 2022",p=0.4371,"mean (distribusi normal, Shapiro-Wilk)",14.552
2022,Sulawesi Selatan,Kayu-Ranting (%),1,"provinsi Sulawesi Selatan, tahun 2022",p=0.1742,"mean (distribusi normal, Shapiro-Wilk)",12.846
2022,Papua Barat,Kayu-Ranting (%),1,"provinsi Papua Barat, tahun 2022",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",15.0
2022,Papua Pegunungan,Kayu-Ranting (%),2,"provinsi Papua Pegunungan, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",10.0
2021,Sumatera Utara,Kayu-Ranting (%),1,"provinsi Sumatera Utara, tahun 2021",p=0.6903,"mean (distribusi normal, Shapiro-Wilk)",13.3664
2021,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2021",p=0.7144,"mean (distribusi normal, Shapiro-Wilk)",11.6233
2021,Jawa Barat,Kayu-Ranting (%),1,"provinsi Jawa Barat, tahun 2021",p=0.5767,"mean (distribusi normal, Shapiro-Wilk)",6.1638
2021,Jawa Tengah,Kayu-Ranting (%),1,"provinsi Jawa Tengah, tahun 2021",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",9.5
2021,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2021",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",10.91
2021,Papua,Kayu-Ranting (%),1,"provinsi Papua, tahun 2021",p=0.0045,"median (distribusi tidak normal, Shapiro-Wilk)",10.5
2021,Papua Barat,Kayu-Ranting (%),2,"provinsi Papua Barat, semua tahun",p=0.0034,"median (distribusi tidak normal, Shapiro-Wilk)",8.5
2020,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2020",p=0.8552,"mean (distribusi normal, Shapiro-Wilk)",12.8722
2020,Riau,Kayu-Ranting (%),1,"provinsi Riau, tahun 2020",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",14.0
2020,Jawa Tengah,Kayu-Ranting (%),1,"provinsi Jawa Tengah, tahun 2020",p=0.0022,"median (distribusi tidak normal, Shapiro-Wilk)",10.315
2020,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),2,"provinsi Daerah Istimewa Yogyakarta, semua tahun",p=0.0012,"median (distribusi tidak normal, Shapiro-Wilk)",2.535
2020,Papua Barat,Kayu-Ranting (%),1,"provinsi Papua Barat, tahun 2020",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",0.0
2019,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2019",p=0.6416,"mean (distribusi normal, Shapiro-Wilk)",11.9725
2019,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2019",p=0.7792,"mean (distribusi normal, Shapiro-Wilk)",11.9725
2019,Jawa Tengah,Kayu-Ranting (%),1,"provinsi Jawa Tengah, tahun 2019",p=0.0005,"median (distribusi tidak normal, Shapiro-Wilk)",5.29
2019,Jawa Tengah,Kayu-Ranting (%),1,"provinsi Jawa Tengah, tahun 2019",p=0.0002,"median (distribusi tidak normal, Shapiro-Wilk)",5.29
2019,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2019",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",7.09
2019,Nusa Tenggara Timur,Kayu-Ranting (%),2,"provinsi Nusa Tenggara Timur, semua tahun",p=0.0003,"median (distribusi tidak normal, Shapiro-Wilk)",20.0
2020,Bengkulu,Kayu-Ranting (%),2,"provinsi Bengkulu, semua tahun",p=0.0029,"median (distribusi tidak normal, Shapiro-Wilk)",10.0
2020,Sulawesi Tenggara,Kayu-Ranting (%),2,"provinsi Sulawesi Tenggara, semua tahun",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",10.0
2021,Banten,Kayu-Ranting (%),2,"provinsi Banten, semua tahun",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",12.0
2021,DKI Jakarta,Kayu-Ranting (%),2,"provinsi DKI Jakarta, semua tahun",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",3.18
2021,Sulawesi Barat,Kayu-Ranting (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.1689,"mean (distribusi normal, Shapiro-Wilk)",11.3625
2022,Papua Barat Daya,Kayu-Ranting (%),2,"provinsi Papua Barat Daya, semua tahun",p=0.3836,"mean (distribusi normal, Shapiro-Wilk)",15.41
2022,Papua Tengah,Kayu-Ranting (%),2,"provinsi Papua Tengah, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",60.0
2022,Sulawesi Barat,Kayu-Ranting (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.2052,"mean (distribusi normal, Shapiro-Wilk)",11.3625
2023,Maluku Utara,Kayu-Ranting (%),2,"provinsi Maluku Utara, semua tahun",p=0.0709,"mean (distribusi normal, Shapiro-Wilk)",16.7814
2023,Sulawesi Barat,Kayu-Ranting (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.1354,"mean (distribusi normal, Shapiro-Wilk)",11.3625
2024,Maluku Utara,Kayu-Ranting (%),2,"provinsi Maluku Utara, semua tahun",p=0.0874,"mean (distribusi normal, Shapiro-Wilk)",16.7814
2024,Papua Barat Daya,Kayu-Ranting (%),2,"provinsi Papua Barat Daya, semua tahun",p=0.5997,"mean (distribusi normal, Shapiro-Wilk)",15.41
2024,Papua Tengah,Kayu-Ranting (%),2,"provinsi Papua Tengah, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",60.0
2025,Kalimantan Utara,Kayu-Ranting (%),2,"provinsi Kalimantan Utara, semua tahun",p=0.0487,"median (distribusi tidak normal, Shapiro-Wilk)",8.2
2025,Maluku Utara,Kayu-Ranting (%),2,"provinsi Maluku Utara, semua tahun",p=0.0795,"mean (distribusi normal, Shapiro-Wilk)",16.7814
2025,Papua Tengah,Kayu-Ranting (%),2,"provinsi Papua Tengah, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",60.0
2025,Sulawesi Barat,Kayu-Ranting (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.0619,"mean (distribusi normal, Shapiro-Wilk)",11.3625
2025,Jambi,Kertas-Karton (%),2,"provinsi Jambi, semua tahun",p=0.2194,"mean (distribusi normal, Shapiro-Wilk)",12.6764
2025,Nusa Tenggara Barat,Kertas-Karton (%),2,"provinsi Nusa Tenggara Barat, semua tahun",p=0.0018,"median (distribusi tidak normal, Shapiro-Wilk)",7.75
2025,Papua,Kertas-Karton (%),2,"provinsi Papua, semua tahun",p=0.0142,"median (distribusi tidak normal, Shapiro-Wilk)",15.0
2025,Papua Barat,Kertas-Karton (%),2,"provinsi Papua Barat, semua tahun",p=0.0560,"mean (distribusi normal, Shapiro-Wilk)",10.0
2025,Papua Selatan,Kertas-Karton (%),2,"provinsi Papua Selatan, semua tahun",p=0.2811,"mean (distribusi normal, Shapiro-Wilk)",16.9167
2025,Papua Pegunungan,Kertas-Karton (%),2,"provinsi Papua Pegunungan, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",10.0
2024,Papua Pegunungan,Kertas-Karton (%),2,"provinsi Papua Pegunungan, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",10.0
2022,Sulawesi Tenggara,Kertas-Karton (%),1,"provinsi Sulawesi Tenggara, tahun 2022",p=0.8028,"mean (distribusi normal, Shapiro-Wilk)",8.55
2022,Papua Pegunungan,Kertas-Karton (%),2,"provinsi Papua Pegunungan, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",10.0
2021,Sumatera Utara,Kertas-Karton (%),1,"provinsi Sumatera Utara, tahun 2021",p=0.2937,"mean (distribusi normal, Shapiro-Wilk)",14.4027
2019,Nusa Tenggara Timur,Kertas-Karton (%),2,"provinsi Nusa Tenggara Timur, semua tahun",p=0.0009,"median (distribusi tidak normal, Shapiro-Wilk)",11.0
2020,Bengkulu,Kertas-Karton (%),2,"provinsi Bengkulu, semua tahun",p=0.0337,"median (distribusi tidak normal, Shapiro-Wilk)",8.56
2020,Sulawesi Tenggara,Kertas-Karton (%),2,"provinsi Sulawesi Tenggara, semua tahun",p=0.0385,"median (distribusi tidak normal, Shapiro-Wilk)",9.36
2021,Banten,Kertas-Karton (%),2,"provinsi Banten, semua tahun",p=0.2981,"mean (distribusi normal, Shapiro-Wilk)",10.1242
2021,DKI Jakarta,Kertas-Karton (%),2,"provinsi DKI Jakarta, semua tahun",p=0.0007,"median (distribusi tidak normal, Shapiro-Wilk)",17.24
2021,Sulawesi Barat,Kertas-Karton (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.1501,"mean (distribusi normal, Shapiro-Wilk)",15.3275
2022,Papua Barat Daya,Kertas-Karton (%),2,"provinsi Papua Barat Daya, semua tahun",p=0.7674,"mean (distribusi normal, Shapiro-Wilk)",15.3533
2022,Papua Tengah,Kertas-Karton (%),2,"provinsi Papua Tengah, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",3.0
2022,Sulawesi Barat,Kertas-Karton (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.1637,"mean (distribusi normal, Shapiro-Wilk)",15.3275
2023,Maluku Utara,Kertas-Karton (%),2,"provinsi Maluku Utara, semua tahun",p=0.0007,"median (distribusi tidak normal, Shapiro-Wilk)",12.0
2023,Sulawesi Barat,Kertas-Karton (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.0995,"mean (distribusi normal, Shapiro-Wilk)",15.3275
2024,Maluku Utara,Kertas-Karton (%),2,"provinsi Maluku Utara, semua tahun",p=0.0001,"median (distribusi tidak normal, Shapiro-Wilk)",12.0
2024,Papua Barat Daya,Kertas-Karton (%),2,"provinsi Papua Barat Daya, semua tahun",p=0.7967,"mean (distribusi normal, Shapiro-Wilk)",15.3533
2024,Papua Tengah,Kertas-Karton (%),2,"provinsi Papua Tengah, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",3.0
2025,Kalimantan Utara,Kertas-Karton (%),2,"provinsi Kalimantan Utara, semua tahun",p=0.0158,"median (distribusi tidak normal, Shapiro-Wilk)",19.7
2025,Maluku Utara,Kertas-Karton (%),2,"provinsi Maluku Utara, semua tahun",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",12.0
2025,Papua Tengah,Kertas-Karton (%),2,"provinsi Papua Tengah, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",3.0
2025,Sulawesi Barat,Kertas-Karton (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.0426,"median (distribusi tidak normal, Shapiro-Wilk)",15.3275
2025,Jambi,Plastik(%),2,"provinsi Jambi, semua tahun",p=0.0083,"median (distribusi tidak normal, Shapiro-Wilk)",16.175
2025,Nusa Tenggara Barat,Plastik(%),2,"provinsi Nusa Tenggara Barat, semua tahun",p=0.0022,"median (distribusi tidak normal, Shapiro-Wilk)",19.0
2025,Papua,Plastik(%),2,"provinsi Papua, semua tahun",p=0.0223,"median (distribusi tidak normal, Shapiro-Wilk)",20.0
2025,Papua Barat,Plastik(%),2,"provinsi Papua Barat, semua tahun",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",26.0
2025,Papua Selatan,Plastik(%),2,"provinsi Papua Selatan, semua tahun",p=0.0759,"mean (distribusi normal, Shapiro-Wilk)",29.9333
2025,Papua Pegunungan,Plastik(%),2,"provinsi Papua Pegunungan, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",25.0
2024,Papua Pegunungan,Plastik(%),2,"provinsi Papua Pegunungan, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",25.0
2022,Papua Pegunungan,Plastik(%),2,"provinsi Papua Pegunungan, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",25.0
2021,Sumatera Utara,Plastik(%),1,"provinsi Sumatera Utara, tahun 2021",p=0.2076,"mean (distribusi normal, Shapiro-Wilk)",17.03
2019,Nusa Tenggara Timur,Plastik(%),2,"provinsi Nusa Tenggara Timur, semua tahun",p=0.0009,"median (distribusi tidak normal, Shapiro-Wilk)",20.0
