combo_id,run,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,seed,refine_iter,final_objective,max_cluster_ratio,boundary_ratio,is_imbalanced
1,1,20,100,1.0,0.95,0.5,0.1,43,24,47.04149182027303,0.5118110236220472,0.3425196850393701,False
1,2,20,100,1.0,0.95,0.5,0.1,44,24,43.859627819105434,0.5275590551181102,0.28346456692913385,False
1,3,20,100,1.0,0.95,0.5,0.1,45,24,49.28077718543223,0.7755905511811023,0.10236220472440945,False
1,4,20,100,1.0,0.95,0.5,0.1,46,21,43.74558630079265,0.5275590551181102,0.28346456692913385,False
1,5,20,100,1.0,0.95,0.5,0.1,47,15,47.63443445267012,0.6968503937007874,0.17716535433070865,False
2,1,20,100,1.0,0.95,0.5,0.5,43,15,46.593294121184634,0.531496062992126,0.3464566929133858,False
2,2,20,100,1.0,0.95,0.5,0.5,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
2,3,20,100,1.0,0.95,0.5,0.5,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
2,4,20,100,1.0,0.95,0.5,0.5,46,22,43.745586300792674,0.5275590551181102,0.28346456692913385,False
2,5,20,100,1.0,0.95,0.5,0.5,47,15,47.63443445267017,0.6968503937007874,0.17716535433070865,False
3,1,20,100,1.0,0.95,0.5,1.0,43,15,46.593294121184634,0.531496062992126,0.3464566929133858,False
3,2,20,100,1.0,0.95,0.5,1.0,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
3,3,20,100,1.0,0.95,0.5,1.0,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
3,4,20,100,1.0,0.95,0.5,1.0,46,22,43.745586300792674,0.5275590551181102,0.28346456692913385,False
3,5,20,100,1.0,0.95,0.5,1.0,47,15,47.63443445267017,0.6968503937007874,0.17716535433070865,False
4,1,20,100,1.0,0.95,0.5,2.0,43,15,46.593294121184634,0.531496062992126,0.3464566929133858,False
4,2,20,100,1.0,0.95,0.5,2.0,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
4,3,20,100,1.0,0.95,0.5,2.0,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
4,4,20,100,1.0,0.95,0.5,2.0,46,22,43.745586300792674,0.5275590551181102,0.28346456692913385,False
4,5,20,100,1.0,0.95,0.5,2.0,47,15,47.63443445267017,0.6968503937007874,0.17716535433070865,False
5,1,20,100,1.0,0.95,1.0,0.1,43,53,34.433258284774006,0.5078740157480315,0.8149606299212598,False
5,2,20,100,1.0,0.95,1.0,0.1,44,25,45.89751407794623,0.4409448818897638,0.3188976377952756,False
5,3,20,100,1.0,0.95,1.0,0.1,45,191,34.806466048130666,0.47244094488188976,0.8779527559055118,False
5,4,20,100,1.0,0.95,1.0,0.1,46,99,33.72790272962952,0.4448818897637795,0.8661417322834646,False
5,5,20,100,1.0,0.95,1.0,0.1,47,15,47.63443445267003,0.6968503937007874,0.17716535433070865,False
6,1,20,100,1.0,0.95,1.0,0.5,43,15,46.593294121184634,0.531496062992126,0.3464566929133858,False
6,2,20,100,1.0,0.95,1.0,0.5,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
6,3,20,100,1.0,0.95,1.0,0.5,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
6,4,20,100,1.0,0.95,1.0,0.5,46,22,43.745586300792674,0.5275590551181102,0.28346456692913385,False
6,5,20,100,1.0,0.95,1.0,0.5,47,15,47.63443445267017,0.6968503937007874,0.17716535433070865,False
7,1,20,100,1.0,0.95,1.0,1.0,43,15,46.593294121184634,0.531496062992126,0.3464566929133858,False
7,2,20,100,1.0,0.95,1.0,1.0,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
7,3,20,100,1.0,0.95,1.0,1.0,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
7,4,20,100,1.0,0.95,1.0,1.0,46,22,43.745586300792674,0.5275590551181102,0.28346456692913385,False
7,5,20,100,1.0,0.95,1.0,1.0,47,15,47.63443445267017,0.6968503937007874,0.17716535433070865,False
8,1,20,100,1.0,0.95,1.0,2.0,43,15,46.593294121184634,0.531496062992126,0.3464566929133858,False
8,2,20,100,1.0,0.95,1.0,2.0,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
8,3,20,100,1.0,0.95,1.0,2.0,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
8,4,20,100,1.0,0.95,1.0,2.0,46,22,43.745586300792674,0.5275590551181102,0.28346456692913385,False
8,5,20,100,1.0,0.95,1.0,2.0,47,15,47.63443445267017,0.6968503937007874,0.17716535433070865,False
9,1,20,100,1.0,0.95,2.0,0.1,43,19,46.96095291568321,0.5039370078740157,0.3464566929133858,False
9,2,20,100,1.0,0.95,2.0,0.1,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
9,3,20,100,1.0,0.95,2.0,0.1,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
9,4,20,100,1.0,0.95,2.0,0.1,46,22,43.745586300792674,0.5275590551181102,0.28346456692913385,False
9,5,20,100,1.0,0.95,2.0,0.1,47,15,47.63443445267017,0.6968503937007874,0.17716535433070865,False
10,1,20,100,1.0,0.95,2.0,0.5,43,15,46.593294121184634,0.531496062992126,0.3464566929133858,False
10,2,20,100,1.0,0.95,2.0,0.5,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
10,3,20,100,1.0,0.95,2.0,0.5,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
10,4,20,100,1.0,0.95,2.0,0.5,46,22,43.745586300792674,0.5275590551181102,0.28346456692913385,False
10,5,20,100,1.0,0.95,2.0,0.5,47,15,47.63443445267017,0.6968503937007874,0.17716535433070865,False
11,1,20,100,1.0,0.95,2.0,1.0,43,15,46.593294121184634,0.531496062992126,0.3464566929133858,False
11,2,20,100,1.0,0.95,2.0,1.0,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
11,3,20,100,1.0,0.95,2.0,1.0,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
11,4,20,100,1.0,0.95,2.0,1.0,46,22,43.745586300792674,0.5275590551181102,0.28346456692913385,False
11,5,20,100,1.0,0.95,2.0,1.0,47,15,47.63443445267017,0.6968503937007874,0.17716535433070865,False
12,1,20,100,1.0,0.95,2.0,2.0,43,15,46.593294121184634,0.531496062992126,0.3464566929133858,False
12,2,20,100,1.0,0.95,2.0,2.0,44,52,44.45430539517328,0.6929133858267716,0.15354330708661418,False
12,3,20,100,1.0,0.95,2.0,2.0,45,31,45.203267763381696,0.547244094488189,0.2795275590551181,False
