Run,Metode,k,Symmetric Purity,File
98,FCM,4,0.991263149192965,fcm_k4_run98.csv
99,FCM,4,0.991263149192965,fcm_k4_run99.csv
100,FCM,4,0.9744492165752008,fcm_k4_run100.csv
1,FRCM,4,0.5878798525273818,frcm_k4_run1.csv
2,FRCM,4,0.7766573916986218,frcm_k4_run2.csv
3,FRCM,4,0.7289002305277338,frcm_k4_run3.csv
4,FRCM,4,0.6914967769329478,frcm_k4_run4.csv
5,FRCM,4,0.7371257368777363,frcm_k4_run5.csv
6,FRCM,4,0.7766573916986218,frcm_k4_run6.csv
7,FRCM,4,0.7674682218051305,frcm_k4_run7.csv
8,FRCM,4,0.7674682218051305,frcm_k4_run8.csv
9,FRCM,4,0.7674682218051305,frcm_k4_run9.csv
10,FRCM,4,0.7485276536209637,frcm_k4_run10.csv
11,FRCM,4,0.6803184363944484,frcm_k4_run11.csv
12,FRCM,4,0.7787572544842061,frcm_k4_run12.csv
13,FRCM,4,0.78003404996709,frcm_k4_run13.csv
14,FRCM,4,0.6843335706873434,frcm_k4_run14.csv
15,FRCM,4,0.785091130788322,frcm_k4_run15.csv
16,FRCM,4,0.785091130788322,frcm_k4_run16.csv
17,FRCM,4,0.7674682218051306,frcm_k4_run17.csv
18,FRCM,4,0.7882370108174561,frcm_k4_run18.csv
19,FRCM,4,0.7766573916986218,frcm_k4_run19.csv
20,FRCM,4,0.7859123192993862,frcm_k4_run20.csv
21,FRCM,4,0.770553197672052,frcm_k4_run21.csv
22,FRCM,4,0.7766573916986218,frcm_k4_run22.csv
23,FRCM,4,0.7882370108174561,frcm_k4_run23.csv
24,FRCM,4,0.7394637365032305,frcm_k4_run24.csv
25,FRCM,4,0.6861304783215626,frcm_k4_run25.csv
26,FRCM,4,0.5150693180174238,frcm_k4_run26.csv
27,FRCM,4,0.5150693180174238,frcm_k4_run27.csv
28,FRCM,4,0.788237010817456,frcm_k4_run28.csv
29,FRCM,4,0.7766573916986217,frcm_k4_run29.csv
30,FRCM,4,0.7766573916986217,frcm_k4_run30.csv
31,FRCM,4,0.7859123192993862,frcm_k4_run31.csv
32,FRCM,4,0.7313039878605011,frcm_k4_run32.csv
33,FRCM,4,0.6485640395523217,frcm_k4_run33.csv
34,FRCM,4,0.7827454594303129,frcm_k4_run34.csv
35,FRCM,4,0.6662137213163316,frcm_k4_run35.csv
36,FRCM,4,0.7827454594303129,frcm_k4_run36.csv
37,FRCM,4,0.7838642798497718,frcm_k4_run37.csv
38,FRCM,4,0.6400769114669542,frcm_k4_run38.csv
39,FRCM,4,0.7766573916986217,frcm_k4_run39.csv
40,FRCM,4,0.770553197672052,frcm_k4_run40.csv
41,FRCM,4,0.78003404996709,frcm_k4_run41.csv
42,FRCM,4,0.7766573916986217,frcm_k4_run42.csv
43,FRCM,4,0.7766573916986217,frcm_k4_run43.csv
44,FRCM,4,0.785091130788322,frcm_k4_run44.csv
45,FRCM,4,0.7347229189407875,frcm_k4_run45.csv
46,FRCM,4,0.7850911307883222,frcm_k4_run46.csv
47,FRCM,4,0.7674682218051306,frcm_k4_run47.csv
48,FRCM,4,0.5098899591738577,frcm_k4_run48.csv
49,FRCM,4,0.7766573916986218,frcm_k4_run49.csv
50,FRCM,4,0.785091130788322,frcm_k4_run50.csv
51,FRCM,4,0.770553197672052,frcm_k4_run51.csv
52,FRCM,4,0.788237010817456,frcm_k4_run52.csv
53,FRCM,4,0.7859123192993862,frcm_k4_run53.csv
54,FRCM,4,0.7787572544842061,frcm_k4_run54.csv
55,FRCM,4,0.785091130788322,frcm_k4_run55.csv
56,FRCM,4,0.7882370108174561,frcm_k4_run56.csv
57,FRCM,4,0.7850911307883222,frcm_k4_run57.csv
58,FRCM,4,0.7850911307883222,frcm_k4_run58.csv
59,FRCM,4,0.7882370108174561,frcm_k4_run59.csv
60,FRCM,4,0.7787572544842061,frcm_k4_run60.csv
61,FRCM,4,0.7882370108174561,frcm_k4_run61.csv
62,FRCM,4,0.7827454594303128,frcm_k4_run62.csv
63,FRCM,4,0.7766573916986218,frcm_k4_run63.csv
64,FRCM,4,0.7859123192993862,frcm_k4_run64.csv
65,FRCM,4,0.770553197672052,frcm_k4_run65.csv
66,FRCM,4,0.7766573916986219,frcm_k4_run66.csv
67,FRCM,4,0.7882370108174561,frcm_k4_run67.csv
68,FRCM,4,0.7674682218051306,frcm_k4_run68.csv
69,FRCM,4,0.7420088729066348,frcm_k4_run69.csv
70,FRCM,4,0.7674682218051305,frcm_k4_run70.csv
71,FRCM,4,0.6564111259535651,frcm_k4_run71.csv
72,FRCM,4,0.691973520310677,frcm_k4_run72.csv
73,FRCM,4,0.7827454594303129,frcm_k4_run73.csv
74,FRCM,4,0.7766573916986218,frcm_k4_run74.csv
75,FRCM,4,0.6954470929143878,frcm_k4_run75.csv
76,FRCM,4,0.7347229189407873,frcm_k4_run76.csv
77,FRCM,4,0.788237010817456,frcm_k4_run77.csv
78,FRCM,4,0.770553197672052,frcm_k4_run78.csv
79,FRCM,4,0.7838642798497718,frcm_k4_run79.csv
80,FRCM,4,0.770553197672052,frcm_k4_run80.csv
81,FRCM,4,0.7674682218051305,frcm_k4_run81.csv
82,FRCM,4,0.6948275613722943,frcm_k4_run82.csv
83,FRCM,4,0.785091130788322,frcm_k4_run83.csv
84,FRCM,4,0.7766573916986217,frcm_k4_run84.csv
85,FRCM,4,0.785091130788322,frcm_k4_run85.csv
86,FRCM,4,0.785091130788322,frcm_k4_run86.csv
87,FRCM,4,0.785091130788322,frcm_k4_run87.csv
88,FRCM,4,0.7766573916986218,frcm_k4_run88.csv
89,FRCM,4,0.7838642798497718,frcm_k4_run89.csv
90,FRCM,4,0.7766573916986218,frcm_k4_run90.csv
91,FRCM,4,0.7674682218051306,frcm_k4_run91.csv
92,FRCM,4,0.7766573916986219,frcm_k4_run92.csv
93,FRCM,4,0.7766573916986219,frcm_k4_run93.csv
94,FRCM,4,0.7815380226720049,frcm_k4_run94.csv
95,FRCM,4,0.7766573916986219,frcm_k4_run95.csv
96,FRCM,4,0.7210385834913082,frcm_k4_run96.csv
97,FRCM,4,0.7882370108174561,frcm_k4_run97.csv
98,FRCM,4,0.770553197672052,frcm_k4_run98.csv
99,FRCM,4,0.7882370108174561,frcm_k4_run99.csv
100,FRCM,4,0.7674682218051306,frcm_k4_run100.csv
1,FA-FRCM,3,0.6714034135138978,fafrcm_k3_run1.csv
2,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run2.csv
3,FA-FRCM,3,0.7023900108406278,fafrcm_k3_run3.csv
4,FA-FRCM,3,0.6755110782948837,fafrcm_k3_run4.csv
5,FA-FRCM,3,0.6714034135138978,fafrcm_k3_run5.csv
6,FA-FRCM,3,0.6896696520665768,fafrcm_k3_run6.csv
7,FA-FRCM,3,0.6317713999064362,fafrcm_k3_run7.csv
8,FA-FRCM,3,0.6755110782948838,fafrcm_k3_run8.csv
9,FA-FRCM,3,0.6765641410070697,fafrcm_k3_run9.csv
10,FA-FRCM,3,0.6896696520665767,fafrcm_k3_run10.csv
11,FA-FRCM,3,0.7023900108406276,fafrcm_k3_run11.csv
12,FA-FRCM,3,0.7023900108406276,fafrcm_k3_run12.csv
13,FA-FRCM,3,0.7104622391062964,fafrcm_k3_run13.csv
14,FA-FRCM,3,0.6896696520665767,fafrcm_k3_run14.csv
15,FA-FRCM,3,0.6757099170763997,fafrcm_k3_run15.csv
16,FA-FRCM,3,0.7051123799217297,fafrcm_k3_run16.csv
17,FA-FRCM,3,0.7023900108406278,fafrcm_k3_run17.csv
18,FA-FRCM,3,0.6732959829556022,fafrcm_k3_run18.csv
19,FA-FRCM,3,0.7000850466347398,fafrcm_k3_run19.csv
