combo_id,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,avg_final_objective,std_final_objective,avg_max_cluster_ratio,std_max_cluster_ratio,avg_boundary_ratio,n_imbalanced_runs,score_select
53,20,200,1.0,0.97,1.0,0.1,40.37022252826124,8.817626387071162,0.5322834645669292,0.12256683909304379,0.47007874015748036,0,45.69305717393053
113,25,200,1.0,0.95,1.0,0.1,41.92927095229827,6.9852285650521875,0.5291338582677165,0.11144583814727976,0.4881889763779528,0,47.22060953497543
77,25,100,1.0,0.95,1.0,0.1,41.92927095235562,6.985228564984227,0.5291338582677165,0.11144583814727976,0.4881889763779528,0,47.220609535032786
149,30,100,1.0,0.95,1.0,0.1,43.519494142450256,5.204549162262264,0.5480314960629922,0.11617175642880666,0.33779527559055117,0,48.99980910308018
185,30,200,1.0,0.95,1.0,0.1,43.561723464648296,5.213589569827263,0.5480314960629922,0.11617175642880666,0.3362204724409449,0,49.04203842527822
5,20,100,1.0,0.95,1.0,0.1,44.20026913538201,5.808833037508159,0.5866141732283465,0.15087012800283242,0.30866141732283464,0,50.066410867665475
41,20,200,1.0,0.95,1.0,0.1,44.24488871325959,5.81043286291281,0.5850393700787402,0.15152622189044324,0.30708661417322836,0,50.09528241404699
17,20,100,1.0,0.97,1.0,0.1,44.2796113821226,5.811566037883972,0.584251968503937,0.15185830936070716,0.305511811023622,0,50.12213106716197
1,20,100,1.0,0.95,0.5,0.1,44.27082354438063,5.521192073121426,0.5874015748031496,0.11673742868186923,0.3385826771653543,0,50.14483929241213
37,20,200,1.0,0.95,0.5,0.1,44.27082354438776,5.521192073106288,0.5874015748031496,0.11673742868186923,0.3385826771653543,0,50.144839292419256
201,30,200,1.0,0.97,2.0,0.1,46.46703355457118,1.964796459558742,0.5700787401574803,0.0820372687272493,0.2385826771653543,0,52.16782095614598
125,25,200,1.0,0.97,1.0,0.1,46.641528995060696,1.7762062171963104,0.6062992125984252,0.09897484322816166,0.21181102362204723,0,52.70452112104495
121,25,200,1.0,0.97,0.5,0.1,46.63412753193696,2.2895891643864217,0.6133858267716535,0.1176631959843662,0.21811023622047246,0,52.767985799653495
57,20,200,1.0,0.97,2.0,0.1,46.93304042285884,2.2158009441232958,0.6118110236220472,0.1152743535065504,0.21102362204724412,0,53.05115065907931
129,25,200,1.0,0.97,2.0,0.1,46.97955463235501,2.403163098548353,0.6094488188976378,0.11739943596651188,0.21023622047244098,0,53.07404282133139
193,30,200,1.0,0.97,0.5,0.1,47.02658981967466,2.2129505591194687,0.6118110236220472,0.11151535710990544,0.21338582677165358,0,53.144700055895136
117,25,200,1.0,0.95,2.0,0.1,46.85074710441245,1.4707985246857096,0.6417322834645669,0.09897484322816168,0.18346456692913385,0,53.268069939058115
197,30,200,1.0,0.97,1.0,0.1,46.86248842812692,1.4861746592019873,0.6425196850393701,0.09765049447513381,0.18346456692913385,0,53.28768527852063
13,20,100,1.0,0.97,0.5,0.1,47.235765650413455,2.1164624631819047,0.6133858267716535,0.11459330810851269,0.2125984251968504,0,53.36962391812999
49,20,200,1.0,0.97,0.5,0.1,47.25954931392046,2.076258756024765,0.6133858267716535,0.11459330810851269,0.2125984251968504,0,53.39340758163699
181,30,200,1.0,0.95,0.5,0.1,47.340239710051016,2.454632725962111,0.6212598425196851,0.10664132756462423,0.2078740157480315,0,53.55283813524787
145,30,100,1.0,0.95,0.5,0.1,47.34023971005107,2.4546327259620355,0.6212598425196851,0.10664132756462423,0.2078740157480315,0,53.552838135247924
161,30,100,1.0,0.97,1.0,0.1,47.08780506119682,2.14822091141981,0.647244094488189,0.112931065286975,0.18425196850393705,0,53.56024600607871
137,25,200,1.0,0.99,1.0,0.1,47.194565645660205,2.1373114600884704,0.6448818897637796,0.11620510749211502,0.18188976377952754,0,53.643384543298
85,25,100,1.0,0.97,0.5,0.1,47.164232205330435,2.220351561081091,0.6488188976377953,0.11513308174131802,0.18188976377952754,0,53.65242118170839
103,25,100,1.0,0.99,1.0,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
104,25,100,1.0,0.99,1.0,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
101,25,100,1.0,0.99,1.0,0.1,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
108,25,100,1.0,0.99,2.0,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
123,25,200,1.0,0.97,0.5,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
102,25,100,1.0,0.99,1.0,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
106,25,100,1.0,0.99,2.0,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
95,25,100,1.0,0.97,2.0,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
82,25,100,1.0,0.95,2.0,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
84,25,100,1.0,0.95,2.0,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
83,25,100,1.0,0.95,2.0,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
97,25,100,1.0,0.99,0.5,0.1,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
98,25,100,1.0,0.99,0.5,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
99,25,100,1.0,0.99,0.5,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
100,25,100,1.0,0.99,0.5,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
105,25,100,1.0,0.99,2.0,0.1,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
78,25,100,1.0,0.95,1.0,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
118,25,200,1.0,0.95,2.0,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
116,25,200,1.0,0.95,1.0,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
93,25,100,1.0,0.97,2.0,0.1,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
92,25,100,1.0,0.97,1.0,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
91,25,100,1.0,0.97,1.0,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
96,25,100,1.0,0.97,2.0,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
80,25,100,1.0,0.95,1.0,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
79,25,100,1.0,0.95,1.0,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
76,25,100,1.0,0.95,0.5,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
74,25,100,1.0,0.95,0.5,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
87,25,100,1.0,0.97,0.5,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
86,25,100,1.0,0.97,0.5,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
119,25,200,1.0,0.95,2.0,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
124,25,200,1.0,0.97,0.5,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
114,25,200,1.0,0.95,1.0,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
115,25,200,1.0,0.95,1.0,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
107,25,100,1.0,0.99,2.0,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
94,25,100,1.0,0.97,2.0,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
122,25,200,1.0,0.97,0.5,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
128,25,200,1.0,0.97,1.0,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
126,25,200,1.0,0.97,1.0,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
127,25,200,1.0,0.97,1.0,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
132,25,200,1.0,0.97,2.0,2.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
135,25,200,1.0,0.99,0.5,1.0,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
142,25,200,1.0,0.99,2.0,0.5,47.22977797411309,2.082585606629201,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
192,30,200,1.0,0.95,2.0,2.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
188,30,200,1.0,0.95,1.0,2.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
187,30,200,1.0,0.95,1.0,1.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
191,30,200,1.0,0.95,2.0,1.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
190,30,200,1.0,0.95,2.0,0.5,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
178,30,100,1.0,0.99,2.0,0.5,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
183,30,200,1.0,0.95,0.5,1.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
182,30,200,1.0,0.95,0.5,0.5,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
180,30,100,1.0,0.99,2.0,2.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
177,30,100,1.0,0.99,2.0,0.1,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
179,30,100,1.0,0.99,2.0,1.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
186,30,200,1.0,0.95,1.0,0.5,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
184,30,200,1.0,0.95,0.5,2.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
168,30,100,1.0,0.97,2.0,2.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
167,30,100,1.0,0.97,2.0,1.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
174,30,100,1.0,0.99,1.0,0.5,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
173,30,100,1.0,0.99,1.0,0.1,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
172,30,100,1.0,0.99,0.5,2.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
171,30,100,1.0,0.99,0.5,1.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
170,30,100,1.0,0.99,0.5,0.5,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
169,30,100,1.0,0.99,0.5,0.1,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
164,30,100,1.0,0.97,1.0,2.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
163,30,100,1.0,0.97,1.0,1.0,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
166,30,100,1.0,0.97,2.0,0.5,47.22977797411309,2.0825856066292,0.6464566929133858,0.11432246559295453,0.1826771653543307,0,53.69434490324695
