combo_id,run,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,seed,refine_iter,final_objective,max_cluster_ratio,boundary_ratio,is_imbalanced
7,4,20,100,1.0,0.95,1.0,1.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
7,5,20,100,1.0,0.95,1.0,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
8,1,20,100,1.0,0.95,1.0,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
8,2,20,100,1.0,0.95,1.0,2.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
8,3,20,100,1.0,0.95,1.0,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
8,4,20,100,1.0,0.95,1.0,2.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
8,5,20,100,1.0,0.95,1.0,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
9,1,20,100,1.0,0.95,2.0,0.1,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
9,2,20,100,1.0,0.95,2.0,0.1,44,53,45.37324758626835,0.7125984251968503,0.10236220472440945,False
9,3,20,100,1.0,0.95,2.0,0.1,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
9,4,20,100,1.0,0.95,2.0,0.1,46,16,45.26027235934103,0.5590551181102362,0.25196850393700787,False
9,5,20,100,1.0,0.95,2.0,0.1,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
10,1,20,100,1.0,0.95,2.0,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
