iterasi,objective_value
1,20.263007778332767
2,20.235273062931867
3,20.230718354342237
4,20.226550705334553
5,20.221471298422436
6,20.21509414178776
7,20.207303627070722
8,20.198237594889022
9,20.188341947872882
10,20.178353813174006
11,20.169137803455996
12,20.161409962660052
13,20.155508744159004
14,20.151361908013143
15,20.148635296087136
16,20.14692441384397
17,20.14587907658786
18,20.14524489195886
19,20.144855525962477
20,20.144609089389412
21,20.14444563126004
22,20.144330709204127
23,20.14424477824665
24,20.144176781084905
25,20.144120426353116
26,20.144072079501825
27,20.14402958537007
28,20.143991616636164
29,20.143957314730706
30,20.143926091899353
31,20.143897521593544
32,20.1438712771771
33,20.14384709709055
34,20.14382476456821
35,20.143804095428347
36,20.14378493040366
37,20.1437671300771
38,20.143750571355355
39,20.143735144883426
40,20.143720753061324
41,20.143707308465537
42,20.143694732556547
43,20.143682954598408
44,20.143671910741787
45,20.14366154323733
46,20.143651799755414
47,20.143642632794478
48,20.143633999163907
49,20.143625859530495
50,20.143618178019423
51,20.1436109218622
52,20.14360406108538
53,20.143597568234632
54,20.143591418129773
55,20.143585587646754
56,20.143580055523355
57,20.1435748021857
58,20.143569809593064
59,20.143565061098894
60,20.143560541326053
61,20.143556236054767
62,20.14355213212177
63,20.143548217329403
64,20.14354448036359
65,20.143540910719747
66,20.143537498635673
67,20.143534235030817
68,20.143531111451146
69,20.143528120019077
70,20.14352525338797
71,20.143522504700677
72,20.143519867551753
73,20.143517335953003
74,20.143514904302027
75,20.14351256735339
76,20.143510320192306
77,20.143508158210494
78,20.143506077084023
79,20.14350407275301
80,20.143502141402926
81,20.14350027944744
82,20.143498483512573
83,20.143496750422162
84,20.14349507718442
85,20.143493460979506
86,20.14349189914813
87,20.143490389180908
88,20.1434889287086
89,20.143487515493025
90,20.14348614741867
91,20.143484822484897
92,20.143483538798694
93,20.14348229456798
94,20.14348108809536
95,20.143479917772325
96,20.143478782073842
97,20.14347767955334
98,20.14347660883802
99,20.1434755686245
100,20.14347455767471
101,20.143473574812134
102,20.143472618918217
103,20.143471688929075
104,20.14347078383237
105,20.143469902664428
106,20.143469044507498
107,20.14346820848722
108,20.143467393770237
109,20.143466599561947
110,20.14346582510442
111,20.143465069674416
112,20.143464332581537
113,20.143463613166496
114,20.14346291079947
115,20.14346222487857
116,20.143461554828402
117,20.14346090009869
118,20.14346026016301
119,20.14345963451758
120,20.14345902268011
121,20.143458424188733
122,20.14345783860101
123,20.14345726549294
124,20.143456704458103
125,20.14345615510676
126,20.14345561706509
127,20.143455089974392
128,20.143454573490395
129,20.143454067282565
130,20.143453571033447
131,20.143453084438086
132,20.143452607203418
133,20.143452139047746
134,20.143451679700206
135,20.143451228900283
136,20.143450786397338
137,20.14345035195017
138,20.143449925326603
139,20.143449506303075
140,20.143449094664263
141,20.143448690202725
142,20.14344829271856
143,20.14344790201908
144,20.143447517918503
145,20.143447140237647
146,20.143446768803678
147,20.14344640344981
148,20.143446044015093
149,20.143445690344116
150,20.143445342286835
151,20.143444999698318
152,20.143444662438533
153,20.143444330372184
154,20.14344400336848
155,20.143443681300987
156,20.14344336404744
157,20.143443051489566
158,20.143442743512946
159,20.14344244000687
160,20.14344214086416
161,20.143441845981073
162,20.143441555257144
163,20.14344126859507
164,20.143440985900583
165,20.14344070708234
166,20.143440432051822
167,20.14344016072322
168,20.14343989301333
169,20.143439628841456
170,20.143439368129343
171,20.143439110801054
172,20.1434388567829
173,20.143438606003382
174,20.143438358393063
175,20.143438113884535
176,20.143437872412346
177,20.1434376339129
178,20.14343739832443
179,20.143437165586903
180,20.143436935641986
181,20.143436708432965
182,20.143436483904708
183,20.14343626200359
184,20.14343604267748
185,20.143435825875635
186,20.14343561154871
187,20.143435399648673
188,20.143435190128773
189,20.143434982943514
190,20.143434778048583
191,20.14343457540084
192,20.143434374958254
193,20.143434176679904
194,20.14343398052589
195,20.14343378645737
196,20.14343359443645
197,20.14343340442622
198,20.143433216390676
199,20.143433030294737
200,20.143432846104155
