Tahun,Provinsi,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,label
2019,Aceh,0.17874821985665001,0.4317735149925831,0.19480524075329403,0.19467302439747283,1
2019,Bali,0.24326793689202164,0.24886222315946735,0.2539737380727078,0.2538961018758032,2
2019,Banten,0.25320549776299545,0.23745047827127483,0.2546755051260084,0.2546685188397213,2
2019,Bengkulu,0.25565668738666525,0.21945796317916694,0.2624648399908528,0.262420509443315,2
2019,DKI Jakarta,0.25723758539382097,0.22977350245634548,0.25649025806782055,0.25649865408201294,0
2019,Daerah Istimewa Yogyakarta,0.2996636701899951,0.1478018923682448,0.27617853839461054,0.2763558990471495,0
2019,Gorontalo,0.2843934557372635,0.13852289601764534,0.2885426175788267,0.28854103066626446,2
2019,Jambi,0.21303713016133688,0.31838787196034024,0.23437140470214549,0.2342035931761774,1
2019,Jawa Barat,0.27130395894254855,0.19390836589735502,0.2673739557246165,0.2674137194354799,0
2019,Jawa Tengah,0.3405177355774611,0.09451897720478204,0.2822833163052639,0.28267997091249303,0
2019,Jawa Timur,0.34418030638223374,0.09285156547711329,0.2812752616242468,0.2816928665164061,0
2019,Kalimantan Barat,0.2839618311614081,0.1337209915157975,0.2911653888343344,0.29115178848846,2
2019,Kalimantan Selatan,0.33832051748828446,0.0985082879118369,0.2813943628559666,0.28177683174391205,0
2019,Kalimantan Tengah,0.3455243661486061,0.07665110646373322,0.28870539073652657,0.28911913665113415,0
2019,Kalimantan Timur,0.33831048375739176,0.09005759453026448,0.28562778409332196,0.28600413761902177,0
2019,Kalimantan Utara,0.30035467538859745,0.14269666804731432,0.27839012012121606,0.27855853644287215,0
2019,Kepulauan Bangka Belitung,0.20215003603576223,0.36450447365789124,0.21673142966580905,0.2166140606405375,1
2019,Kepulauan Riau,0.26124133923827475,0.14486715550305607,0.297069674319761,0.29682183093890824,2
2019,Lampung,0.2672574270405516,0.19909077299862749,0.2668193481660249,0.266832451794796,0
2019,Maluku,0.24546538710665217,0.1872014022454861,0.28381382936749233,0.2835193812803694,2
2019,Maluku Utara,0.25961178416007086,0.2077971168701402,0.2663157116587187,0.2662753873110702,2
