N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,avg_final_objective,std_final_objective,avg_max_cluster_ratio,std_max_cluster_ratio,avg_boundary_ratio,n_imbalanced_runs,score_select
22,297,1.0,0.9816858113465791,1.311501342846405,0.10370330786507065,38.18714373054111,8.438232593161215,0.5716535433070866,0.1296943855425796,0.5692913385826771,0,43.903679163611976
20,261,1.0,0.9860813952433757,1.1713086315320584,0.1344713240614571,40.37022252826772,8.817626387064408,0.5322834645669292,0.12256683909304379,0.47007874015748036,0,45.69305717393701
22,288,1.0,0.9817347636278378,1.3007071841651148,0.10176458990523089,41.28393167549342,6.150682942606742,0.5283464566929135,0.12042997553249776,0.4645669291338582,0,46.567396242422554
22,247,1.0,0.9849593525790195,1.4723038752641457,0.1008634838135766,41.785688318979055,6.995838397181455,0.5614173228346456,0.15249490650311245,0.4322834645669292,0,47.399861547325514
26,267,1.0,0.9816484538319257,1.927306661831315,0.11653095068244776,42.315922350883596,7.568211963064949,0.6039370078740157,0.17466742975558447,0.4031496062992127,0,48.35529242962375
22,283,1.0,0.9796680164563301,1.5785941529233827,0.1394880197414644,43.80401638217772,5.336091629663167,0.547244094488189,0.116024897860562,0.33464566929133854,0,49.27645732705961
21,240,1.0,0.9849613241430938,1.2288345460294825,0.10539708440887818,43.5017913827888,9.004750207923166,0.5984251968503937,0.13385826771653542,0.34488188976377954,0,49.486043351292736
22,298,1.0,0.9819490620516026,1.2783244823667017,0.14713031972677626,44.04165241381111,5.23860719304436,0.5480314960629922,0.09792787743915597,0.36692913385826775,0,49.52196737444103
27,283,1.0,0.9817970040959179,0.6422103454806312,0.11978921499704576,44.105834142309156,5.493509148602257,0.5519685039370079,0.0939287902894277,0.3661417322834646,0,49.62551918167924
23,247,1.0,0.9852001694394059,1.4868485300277217,0.16532277155358094,44.27936942187314,5.814282700975337,0.5874015748031496,0.15350292220767084,0.3062992125984252,0,50.15338516990464
