Tahun,Provinsi,Timbulan Sampah Harian(ton),Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%),Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2020,Aceh,79.91,21.0,16.0,6.0,20.5,5.0,8.75,5.275,4.75,7.0,26.13,4.36,10.0,8.0,5.0,1.1099999999999999,1.655
2020,Bali,281.24,11.3025,58.73,5.96,17.08,2.82,2.16,0.74,2.055,5.9,267.125,2.495,10.317499999999999,5.6866666666666665,4.9425,2.74,1.2924999999999998
2020,Banten,521.75,35.63,12.0,10.0,17.37,0.5,0.75,0.5,0.85,5.0,1.3,119.8,8.0,50.3,134.2,131.3,69.3
2020,Bengkulu,134.535,46.259375,10.0,8.56,11.92,2.7,0.9450000000000001,1.2,1.0,3.0,37.931406249999995,2.8449999999999998,11.93,6.36,3.99,1.59,3.15875
2020,DKI Jakarta,994.655,46.394999999999996,4.375,1.6300000000000001,1.935,0.785,2.99,1.25,0.33,42.43,427.47,430.73,63.0,83.63,0.0,141.27,16.825
2020,Daerah Istimewa Yogyakarta,174.56,67.18,2.535,12.6,17.22,1.68,0.21,0.225,1.11,1.9049999999999998,0.43,2.13,0.23,53.39,11.899999999999999,28.865000000000002,13.55
2020,Gorontalo,102.79,49.065,13.15,11.6,18.445,1.0,1.0,1.0,1.1,5.140000000000001,5.5,0.75,1.75,0.8,0.8500000000000001,0.6,1.1
2020,Jambi,159.66500000000002,31.25,14.125,16.65,18.5,3.85,3.415,4.115,1.69,6.0,16.305,1.7,23.15,3.7,2.35,2.1500000000000004,7.175
2020,Jawa Barat,673.76,44.52,10.0,9.25,16.7,1.02,1.18,1.0,1.09,10.0,204.07999999999998,3.625,65.52499999999999,14.65,12.1,25.0,26.18
2020,Jawa Tengah,496.28,40.0,10.315000000000001,10.18,17.2,1.33,2.4,1.0,2.0,2.0,151.95,5.75,44.61,9.025,14.5,54.6,6.12
2020,Jawa Timur,327.8,54.31,3.8,8.3,16.0,0.835,1.13,1.0,1.0,4.855,70.26,2.24,14.61,2.98,4.61,4.5,2.315
2020,Kalimantan Barat,248.82,45.805,4.8,8.1,22.5,2.0,2.1825,1.25,1.928,6.0,41.0,3.45,23.675,8.58,8.620000000000001,6.553333333333333,3.815
2020,Kalimantan Selatan,96.66,55.18,7.26,10.5,21.36,1.36,1.71,0.62375,1.78,1.0,39.905,1.93,14.43,4.095000000000001,4.52,4.0,1.88
2020,Kalimantan Tengah,94.36,41.275,7.0,11.585,17.57,1.9100000000000001,2.205,2.0,1.495,6.545,22.25,5.2,5.25,9.084999999999999,2.04,3.125,1.65
2020,Kalimantan Timur,160.42000000000002,49.760000000000005,3.545,13.715,15.82,1.71,1.095,0.6100000000000001,1.4,0.925,82.2,5.185,8.11,5.62,3.03,6.28,1.45
2020,Kalimantan Utara,110.57,43.7,10.1,19.7,19.15,0.6,1.1,0.1,0.1,5.55,49.68,2.07,12.42,1.035,3.45,0.345,18.565
2020,Kepulauan Bangka Belitung,104.255,33.085,13.4,8.885,12.3,1.31,3.835,2.21,0.8300000000000001,5.3100000000000005,58.03,4.225,14.655000000000001,9.245000000000001,7.335,3.2399999999999998,3.6500000000000004
2020,Kepulauan Riau,147.98,38.8,13.6,18.3,19.0,1.8,2.5,2.0,1.2,2.0,24.04,2.67,10.2,5.1,3.9,5.9,9.4
2020,Lampung,179.36,29.0,20.0,11.7,20.0,3.0,1.0,1.8,2.0,2.0,40.9,8.2,17.3,18.1,6.3,9.4,6.7
2020,Maluku,150.675,29.5,14.0,14.15,19.45,6.0,4.15,2.5,6.0,4.25,28.615000000000002,5.3100000000000005,21.665,18.85,10.954999999999998,6.67,2.605
2020,Maluku Utara,92.125,41.879999999999995,20.41,12.370000000000001,12.535,1.6099999999999999,0.7150000000000001,0.86,4.029999999999999,5.59,92.11,7.779999999999999,15.379999999999999,9.309999999999999,8.530000000000001,3.985,0.915
2020,Nusa Tenggara Barat,483.44,36.0,23.0,3.5,19.0,7.0,4.0,3.0,4.0,0.5,90.24,0.15,15.0,3.0,10.73,0.47,21.0
