Tahun,Provinsi,label,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,region_type,nama_klaster,membership_dominan,kepastian,info_peta
2025,Aceh,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Bali,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower),Klaster 3 | Pasti (Lower)
2025,Banten,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2025,Bengkulu,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,DKI Jakarta,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower),Klaster 2 | Pasti (Lower)
2025,Daerah Istimewa Yogyakarta,0,0.5204756086701868,0.4795243913298131,0.0,0.0,boundary,Klaster 1,0.52,Boundary (0.52),Klaster 1 | Boundary (0.52)
2025,Gorontalo,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Jambi,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Jawa Barat,1,0.4221492009067908,0.5778507990932091,0.0,0.0,boundary,Klaster 2,0.58,Boundary (0.58),Klaster 2 | Boundary (0.58)
2025,Jawa Tengah,1,0.4658853024232581,0.5341146975767418,0.0,0.0,boundary,Klaster 2,0.53,Boundary (0.53),Klaster 2 | Boundary (0.53)
2025,Jawa Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Kalimantan Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Kalimantan Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Kalimantan Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Kalimantan Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Kalimantan Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Kepulauan Bangka Belitung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Kepulauan Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Lampung,1,0.4844070010139684,0.5155929989860316,0.0,0.0,boundary,Klaster 2,0.52,Boundary (0.52),Klaster 2 | Boundary (0.52)
2025,Maluku,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2025,Maluku Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Nusa Tenggara Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Nusa Tenggara Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Papua,3,0.4962910146263966,0.0,0.0,0.5037089853736034,boundary,Klaster 4,0.5,Boundary (0.50),Klaster 4 | Boundary (0.50)
2025,Papua Barat,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2025,Papua Barat Daya,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Papua Pegunungan,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2025,Papua Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Papua Tengah,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower),Klaster 3 | Pasti (Lower)
2025,Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Sulawesi Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Sulawesi Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Sulawesi Tengah,0,0.5084266767398296,0.0,0.0,0.4915733232601704,boundary,Klaster 1,0.51,Boundary (0.51),Klaster 1 | Boundary (0.51)
2025,Sulawesi Tenggara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2025,Sulawesi Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
