Tahun,Provinsi,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,label,region_type,n_active_clusters
2021,Kepulauan Bangka Belitung,0.0,0.4882634248668717,0.5117365751331283,0.0,2,boundary,2
2021,Kepulauan Riau,0.0,0.46571485902890736,0.5342851409710926,0.0,2,boundary,2
2021,Lampung,0.0,0.4712321544365297,0.5287678455634702,0.0,2,boundary,2
2021,Maluku,0.0,0.0,0.5271026554087541,0.4728973445912459,2,boundary,2
2021,Maluku Utara,0.0,0.4331437863380753,0.5668562136619246,0.0,2,boundary,2
2021,Nusa Tenggara Barat,0.0,0.4993279725831161,0.500672027416884,0.0,2,boundary,2
2021,Nusa Tenggara Timur,0.0,0.395549640716961,0.604450359283039,0.0,2,boundary,2
2021,Papua,0.0,0.43646500376709113,0.5635349962329089,0.0,2,boundary,2
2021,Papua Barat,0.0,0.0,0.0,1.0,3,lower,1
2021,Riau,0.0,1.0,0.0,0.0,1,lower,1
2021,Sulawesi Barat,0.0,1.0,0.0,0.0,1,lower,1
2021,Sulawesi Selatan,0.0,1.0,0.0,0.0,1,lower,1
2021,Sulawesi Tengah,0.0,0.4461415918297435,0.5538584081702566,0.0,2,boundary,2
2021,Sulawesi Tenggara,0.0,1.0,0.0,0.0,1,lower,1
2021,Sulawesi Utara,0.0,1.0,0.0,0.0,1,lower,1
2021,Sumatera Barat,0.0,1.0,0.0,0.0,1,lower,1
2021,Sumatera Selatan,0.0,1.0,0.0,0.0,1,lower,1
2021,Sumatera Utara,0.0,0.0,1.0,0.0,2,lower,1
2022,Aceh,0.0,0.0,1.0,0.0,2,lower,1
2022,Bali,0.0,0.0,1.0,0.0,2,lower,1
2022,Banten,1.0,0.0,0.0,0.0,0,lower,1
2022,Bengkulu,0.0,1.0,0.0,0.0,1,lower,1
2022,DKI Jakarta,0.0,0.0,1.0,0.0,2,lower,1
2022,Daerah Istimewa Yogyakarta,0.0,1.0,0.0,0.0,1,lower,1
2022,Gorontalo,0.0,0.0,1.0,0.0,2,lower,1
2022,Jambi,0.0,0.4120748251360118,0.5879251748639882,0.0,2,boundary,2
2022,Jawa Barat,0.5865797762174667,0.41342022378253335,0.0,0.0,0,boundary,2
2022,Jawa Tengah,0.0,1.0,0.0,0.0,1,lower,1
2022,Jawa Timur,0.0,1.0,0.0,0.0,1,lower,1
2022,Kalimantan Barat,0.0,1.0,0.0,0.0,1,lower,1
2022,Kalimantan Selatan,0.0,1.0,0.0,0.0,1,lower,1
2022,Kalimantan Tengah,0.0,0.485592107032885,0.514407892967115,0.0,2,boundary,2
2022,Kalimantan Timur,0.0,1.0,0.0,0.0,1,lower,1
2022,Kalimantan Utara,0.0,1.0,0.0,0.0,1,lower,1
2022,Kepulauan Bangka Belitung,0.0,0.5717698719161869,0.428230128083813,0.0,1,boundary,2
2022,Kepulauan Riau,0.0,0.5596075746693345,0.4403924253306656,0.0,1,boundary,2
2022,Lampung,0.0,1.0,0.0,0.0,1,lower,1
2022,Maluku,0.0,1.0,0.0,0.0,1,lower,1
2022,Maluku Utara,0.0,0.0,0.4933994087078927,0.5066005912921072,3,boundary,2
2022,Nusa Tenggara Barat,0.0,0.4255935066615657,0.5744064933384343,0.0,2,boundary,2
2022,Nusa Tenggara Timur,0.0,0.0,1.0,0.0,2,lower,1
2022,Papua,0.0,0.0,0.0,1.0,3,lower,1
2022,Papua Barat,0.0,0.0,0.0,1.0,3,lower,1
2022,Papua Barat Daya,0.0,0.0,1.0,0.0,2,lower,1
2022,Papua Pegunungan,0.0,0.0,0.0,1.0,3,lower,1
2022,Papua Selatan,0.0,0.0,1.0,0.0,2,lower,1
