Tahun,Provinsi,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,label
2019,Aceh,0.19356827397185528,0.43200330795217895,0.19456546962302806,0.17986294845293768,1
2019,Bali,0.253242175142647,0.24882716863311624,0.2538343610722299,0.24409629515200684,2
2019,Banten,0.254592247148078,0.2374229633045142,0.2546478793797259,0.253336910167682,2
2019,Bengkulu,0.26202716686624544,0.21939484784583588,0.26236877963656374,0.25620920565135497,2
2019,DKI Jakarta,0.2565593949214879,0.22974636133602483,0.2564973971917355,0.2571968465507518,3
2019,Daerah Istimewa Yogyakarta,0.2778480736693745,0.14774972449692358,0.27650063594581603,0.29790156588788597,3
2019,Gorontalo,0.2883852588740911,0.13835957174055455,0.2884161652385996,0.2848390041467548,2
2019,Jambi,0.23284171972646708,0.31842748692792716,0.23411299557791163,0.21461779776769405,1
2019,Jawa Barat,0.2677001351705154,0.1938397389460726,0.26740432938775044,0.2710557964956616,3
2019,Jawa Tengah,0.2862628037010687,0.09453828239900235,0.2832236078224838,0.3359753060774451,3
2019,Jawa Timur,0.2855422780332284,0.09289587746618111,0.28233617804222944,0.33922566645836105,3
2019,Kalimantan Barat,0.29082710336509926,0.13354763011540632,0.29095624643493173,0.28466902008456263,2
2019,Kalimantan Selatan,0.2852715351360324,0.09853506497439606,0.28233824806358804,0.3338551518259835,3
2019,Kalimantan Tengah,0.29266267373981614,0.07660576825668387,0.2895075382070092,0.3412240197964908,3
2019,Kalimantan Timur,0.2892812947452707,0.09003240202890464,0.2864081317188036,0.33427817150702105,3
2019,Kalimantan Utara,0.27996277606716696,0.14263358830170056,0.2786848605717971,0.29871877505933536,3
2019,Kepulauan Bangka Belitung,0.21564615929900785,0.36462347702501585,0.21653315996933362,0.2031972037066427,1
2019,Kepulauan Riau,0.2946709204161926,0.14475165305364568,0.2965741425463742,0.26400328398378753,2
2019,Lampung,0.26690020002023285,0.1990207427736765,0.2668069330082882,0.2672721241978024,3
2019,Maluku,0.28114446673041305,0.18712897773582657,0.28338329940462476,0.24834325612913558,2
2019,Maluku Utara,0.2659042697524983,0.20770145784242863,0.26621731204740956,0.26017696035766347,2
2019,Nusa Tenggara Barat,0.269242104727632,0.18967604631143778,0.26897904712363174,0.2721028018372985,3
2019,Nusa Tenggara Timur,0.11583851232741252,0.668869468217678,0.11723407258625618,0.0980579468686534,1
2019,Papua,0.23646328568977693,0.298454265534285,0.23704092397991156,0.2280415247960264,1
2019,Papua Barat,0.24447901727112464,0.270879924940051,0.2447912264916437,0.23984983129718074,1
2019,Riau,0.2442577102533237,0.27835216863028533,0.24505037003455338,0.2323397510818376,1
2019,Sulawesi Barat,0.27456051864646597,0.16268601541563418,0.2735563760558189,0.2891970898820809,3
2019,Sulawesi Selatan,0.30617071871373297,0.06426922393820307,0.3042282145444446,0.3253318428036194,3
2019,Sulawesi Tengah,0.22295877457710206,0.34944912463162575,0.2243748422822464,0.20321725850902586,1
2019,Sulawesi Tenggara,0.27484715003821414,0.18140068911000265,0.27515830208867503,0.26859385876310826,2
2019,Sulawesi Utara,0.2803993494625867,0.1532003651278993,0.27985674131909855,0.28654354409041544,3
