iterasi,objective_value
1,20.26984643433139
2,20.239765225429018
3,20.235735682369068
4,20.233095056799193
5,20.229956028106287
6,20.225762522488804
7,20.220158893615704
8,20.21288282943689
9,20.203862541046295
10,20.19338401117713
11,20.182208421828193
12,20.171468429007092
13,20.162276936225396
14,20.155274861262484
15,20.15047147108546
16,20.14744508490622
17,20.145654922554904
18,20.144641333879164
19,20.144083854312267
20,20.14378292375383
21,20.143622362124212
22,20.143537248149098
23,20.143492218541425
24,20.143468322683606
25,20.14345551369812
26,20.143448503442823
27,20.143444522211308
28,20.14344212424143
29,20.14344055657024
30,20.143439427602225
31,20.14343853380924
32,20.143437769386615
33,20.14343707925547
34,20.14343643465059
35,20.143435820453412
36,20.143435228623996
37,20.143434654797044
38,20.143434096518085
39,20.143433552329626
40,20.143433021297533
41,20.14343250276541
42,20.143431996227115
43,20.143431501260388
44,20.14343101749222
45,20.14343054458064
46,20.143430082205022
47,20.143429630060822
48,20.14342918785668
49,20.143428755312627
50,20.143428332159047
51,20.143427918135917
52,20.143427512992215
53,20.143427116485505
54,20.14342672838152
55,20.14342634845383
56,20.143425976483492
57,20.143425612258774
58,20.143425255574858
59,20.143424906233566
60,20.14342456404311
61,20.143424228817835
62,20.143423900378018
63,20.143423578549598
64,20.143423263163996
65,20.143422954057897
66,20.14342265107306
67,20.143422354056128
68,20.143422062858452
69,20.143421777335913
70,20.14342149734877
71,20.14342122276149
72,20.143420953442607
73,20.143420689264566
74,20.1434204301036
75,20.14342017583959
76,20.14341992635593
77,20.143419681539406
78,20.143419441280102
79,20.143419205471254
80,20.143418974009162
81,20.14341874679308
82,20.143418523725117
83,20.143418304710142
84,20.14341808965569
85,20.143417878471876
86,20.143417671071305
87,20.143417467368995
88,20.143417267282295
89,20.143417070730813
90,20.14341687763633
91,20.143416687922752
92,20.143416501516036
93,20.143416318344087
94,20.143416138336768
95,20.143415961425767
96,20.14341578754459
97,20.143415616628477
98,20.143415448614356
99,20.14341528344079
100,20.14341512104793
101,20.14341496137747
102,20.143414804372583
103,20.143414649977892
104,20.14341449813943
105,20.143414348804566
