Tahun,Provinsi,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,label
2019,Aceh,0.18965299746270586,0.18802073358464638,0.18947896944910075,0.43284729950354706,3
2019,Bali,0.25082271955459995,0.24976830189342233,0.2507115702543332,0.24869740829764447,0
2019,Banten,0.2542742424967521,0.25414325961503537,0.2542608997019366,0.23732159818627588,0
2019,Bengkulu,0.2605195245727264,0.2598663594995875,0.26045130170175995,0.21916281422592615,0
2019,DKI Jakarta,0.256753298029122,0.25683720513839553,0.25676251447307363,0.22964698235940886,1
2019,Daerah Istimewa Yogyakarta,0.283286469098461,0.2856197429586258,0.28353329834886226,0.14756048959405102,1
2019,Gorontalo,0.28752397837681243,0.28721872587997477,0.2874953816340122,0.1377619141092005,0
2019,Jambi,0.22793485150077109,0.2257867132686889,0.2277067669610144,0.31857166826952554,3
2019,Jawa Barat,0.2686458340276499,0.2690732393264742,0.26869230301469443,0.1935886236311816,1
2019,Jawa Tengah,0.29972850308224136,0.3053481573797522,0.30031759702957,0.09460574250843654,1
2019,Jawa Timur,0.3000994630488968,0.3061211552821376,0.30072930313758106,0.09305007853138449,1
2019,Kalimantan Barat,0.28923806492071186,0.28866841622198985,0.2891828881156198,0.1329106307416785,0
2019,Kalimantan Selatan,0.2984444116620197,0.3039118478922727,0.2990168648710452,0.09862687557466238,1
2019,Kalimantan Tengah,0.30578306458920046,0.31139407302040917,0.30637466309863876,0.07644819929175167,1
2019,Kalimantan Timur,0.30145073568197306,0.3066116895981696,0.30199399652895825,0.089943578190899,1
2019,Kalimantan Utara,0.2850570370246354,0.287248887973146,0.285289217696751,0.14240485730546756,1
2019,Kepulauan Bangka Belitung,0.21219014173024198,0.2107159563382842,0.21203329299625803,0.36506060893521586,3
2019,Kepulauan Riau,0.2865245570330284,0.28300480930235133,0.286154948187824,0.1443156854767963,0
2019,Lampung,0.26704946962584175,0.2671276577977028,0.2670589568588154,0.19876391571764002,1
2019,Maluku,0.27247017464853945,0.26860911150516803,0.27206103201348064,0.18685968183281182,0
