Run,Metode,k,Xie-Beni,File,File_Membership
62,FCM,4,29961.530900684662,fcm_k4_run62.csv,fcm_membership_k4_run62.csv
63,FCM,4,14737.631528715516,fcm_k4_run63.csv,fcm_membership_k4_run63.csv
64,FCM,4,14532.415431368972,fcm_k4_run64.csv,fcm_membership_k4_run64.csv
65,FCM,4,4772296.47188093,fcm_k4_run65.csv,fcm_membership_k4_run65.csv
66,FCM,4,132754.9409911543,fcm_k4_run66.csv,fcm_membership_k4_run66.csv
67,FCM,4,1008.3779514253977,fcm_k4_run67.csv,fcm_membership_k4_run67.csv
68,FCM,4,15556.539531021981,fcm_k4_run68.csv,fcm_membership_k4_run68.csv
69,FCM,4,2819.708437575616,fcm_k4_run69.csv,fcm_membership_k4_run69.csv
70,FCM,4,13544.35622190128,fcm_k4_run70.csv,fcm_membership_k4_run70.csv
71,FCM,4,386658.10318751616,fcm_k4_run71.csv,fcm_membership_k4_run71.csv
72,FCM,4,79479.62924206616,fcm_k4_run72.csv,fcm_membership_k4_run72.csv
73,FCM,4,2521.2945345217577,fcm_k4_run73.csv,fcm_membership_k4_run73.csv
74,FCM,4,9449.498055338705,fcm_k4_run74.csv,fcm_membership_k4_run74.csv
75,FCM,4,33289.003130714846,fcm_k4_run75.csv,fcm_membership_k4_run75.csv
76,FCM,4,8134.749811405735,fcm_k4_run76.csv,fcm_membership_k4_run76.csv
77,FCM,4,254383.44371633168,fcm_k4_run77.csv,fcm_membership_k4_run77.csv
78,FCM,4,33731.44093432046,fcm_k4_run78.csv,fcm_membership_k4_run78.csv
79,FCM,4,4377.273419865317,fcm_k4_run79.csv,fcm_membership_k4_run79.csv
80,FCM,4,1276734.3607259686,fcm_k4_run80.csv,fcm_membership_k4_run80.csv
81,FCM,4,692511.3610359905,fcm_k4_run81.csv,fcm_membership_k4_run81.csv
82,FCM,4,1281.2671735903482,fcm_k4_run82.csv,fcm_membership_k4_run82.csv
83,FCM,4,16803.674078609634,fcm_k4_run83.csv,fcm_membership_k4_run83.csv
84,FCM,4,158766.14349049883,fcm_k4_run84.csv,fcm_membership_k4_run84.csv
85,FCM,4,196022.82876908506,fcm_k4_run85.csv,fcm_membership_k4_run85.csv
86,FCM,4,14321.130167442752,fcm_k4_run86.csv,fcm_membership_k4_run86.csv
87,FCM,4,29528.285457328984,fcm_k4_run87.csv,fcm_membership_k4_run87.csv
88,FCM,4,132211.86821169368,fcm_k4_run88.csv,fcm_membership_k4_run88.csv
89,FCM,4,40976.43823806817,fcm_k4_run89.csv,fcm_membership_k4_run89.csv
90,FCM,4,1057.607155718468,fcm_k4_run90.csv,fcm_membership_k4_run90.csv
91,FCM,4,6195459.1774233,fcm_k4_run91.csv,fcm_membership_k4_run91.csv
92,FCM,4,27138.838855379465,fcm_k4_run92.csv,fcm_membership_k4_run92.csv
93,FCM,4,12524.396298275875,fcm_k4_run93.csv,fcm_membership_k4_run93.csv
94,FCM,4,4926.712303307304,fcm_k4_run94.csv,fcm_membership_k4_run94.csv
95,FCM,4,1282.0819554448806,fcm_k4_run95.csv,fcm_membership_k4_run95.csv
96,FCM,4,2180.620214500322,fcm_k4_run96.csv,fcm_membership_k4_run96.csv
97,FCM,4,30503.89204203396,fcm_k4_run97.csv,fcm_membership_k4_run97.csv
98,FCM,4,4810.124412473297,fcm_k4_run98.csv,fcm_membership_k4_run98.csv
99,FCM,4,1073309.734889945,fcm_k4_run99.csv,fcm_membership_k4_run99.csv
100,FCM,4,869.3181236603294,fcm_k4_run100.csv,fcm_membership_k4_run100.csv
1,FRCM,4,63572584.25480194,frcm_k4_run1.csv,frcm_k4_run1.csv
2,FRCM,4,127484233.91241258,frcm_k4_run2.csv,frcm_k4_run2.csv
3,FRCM,4,306191678.7934034,frcm_k4_run3.csv,frcm_k4_run3.csv
4,FRCM,4,11748752.74246716,frcm_k4_run4.csv,frcm_k4_run4.csv
5,FRCM,4,16189357.343705617,frcm_k4_run5.csv,frcm_k4_run5.csv
6,FRCM,4,6289695.500833027,frcm_k4_run6.csv,frcm_k4_run6.csv
7,FRCM,4,238660496.77214122,frcm_k4_run7.csv,frcm_k4_run7.csv
8,FRCM,4,238660496.77214122,frcm_k4_run8.csv,frcm_k4_run8.csv
9,FRCM,4,17765956.03562378,frcm_k4_run9.csv,frcm_k4_run9.csv
10,FRCM,4,184697947.89034998,frcm_k4_run10.csv,frcm_k4_run10.csv
11,FRCM,4,12409292.142894674,frcm_k4_run11.csv,frcm_k4_run11.csv
12,FRCM,4,31896687.42333435,frcm_k4_run12.csv,frcm_k4_run12.csv
13,FRCM,4,71045035.44856016,frcm_k4_run13.csv,frcm_k4_run13.csv
14,FRCM,4,102086205.68629318,frcm_k4_run14.csv,frcm_k4_run14.csv
15,FRCM,4,54761532.18994623,frcm_k4_run15.csv,frcm_k4_run15.csv
16,FRCM,4,20953094.570098132,frcm_k4_run16.csv,frcm_k4_run16.csv
17,FRCM,4,104262082.28277571,frcm_k4_run17.csv,frcm_k4_run17.csv
18,FRCM,4,37517962.97063178,frcm_k4_run18.csv,frcm_k4_run18.csv
19,FRCM,4,20226660.572939377,frcm_k4_run19.csv,frcm_k4_run19.csv
20,FRCM,4,179502378.00148484,frcm_k4_run20.csv,frcm_k4_run20.csv
21,FRCM,4,65617656.59422952,frcm_k4_run21.csv,frcm_k4_run21.csv
22,FRCM,4,8785716.098963186,frcm_k4_run22.csv,frcm_k4_run22.csv
23,FRCM,4,31563147.304659054,frcm_k4_run23.csv,frcm_k4_run23.csv
