run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
69,111,5,0.0015027000335976481,0.00030054000671952963,4,"0,1,2,3",175,53,2,24
70,112,7,0.0008210999658331275,0.00011729999511901821,4,"0,1,2,3",148,14,67,25
71,113,6,0.0004471999127417803,7.453331879029672e-05,4,"0,1,2,3",183,65,4,2
72,114,15,0.0008945000590756536,5.963333727171024e-05,4,"0,1,2,3",156,7,19,72
73,115,12,0.000801699934527278,6.680832787727316e-05,4,"0,1,2,3",84,23,22,125
74,116,9,0.0008635000558570027,9.594445065077808e-05,4,"0,1,2,3",14,146,81,13
75,117,9,0.0008194000693038106,9.104445214486784e-05,4,"0,1,2,3",169,65,5,15
76,118,7,0.0005504000000655651,7.862857143793787e-05,4,"0,1,2,3",24,72,157,1
77,119,27,0.001554699963890016,5.758148014407467e-05,4,"0,1,2,3",13,22,92,127
78,120,7,0.0006257999921217561,8.939999887453658e-05,4,"0,1,2,3",14,26,64,150
79,121,18,0.001362200011499226,7.567777841662367e-05,4,"0,1,2,3",24,134,70,26
80,122,7,0.0005734999431297183,8.192856330424547e-05,4,"0,1,2,3",159,66,4,25
81,123,6,0.0006261999951675534,0.00010436666586125891,4,"0,1,2,3",67,26,14,147
82,124,8,0.0007434000726789236,9.292500908486545e-05,4,"0,1,2,3",18,5,147,84
83,125,8,0.000737300026230514,9.216250327881426e-05,4,"0,1,2,3",124,24,22,84
84,126,26,0.0017803999362513423,6.847692062505163e-05,4,"0,1,2,3",22,14,103,115
85,127,9,0.0006067999638617039,6.742221820685599e-05,4,"0,1,2,3",132,19,78,25
86,128,12,0.0007856999291107059,6.547499409255882e-05,4,"0,1,2,3",24,79,19,132
87,129,10,0.0006415999960154295,6.415999960154294e-05,4,"0,1,2,3",26,73,13,142
88,130,19,0.0013275999808683991,6.987368320359995e-05,4,"0,1,2,3",22,84,126,22
89,131,16,0.0013964999234303832,8.728124521439895e-05,4,"0,1,2,3",14,155,60,25
90,132,8,0.0006393999792635441,7.992499740794301e-05,4,"0,1,2,3",22,14,103,115
91,133,8,0.0005634999834001064,7.04374979250133e-05,4,"0,1,2,3",14,149,25,66
92,134,16,0.0008997999830171466,5.623749893857166e-05,4,"0,1,2,3",12,172,65,5
93,135,18,0.0010522999800741673,5.8461110004120404e-05,4,"0,1,2,3",14,18,82,140
94,136,10,0.0007669999031350017,7.669999031350017e-05,4,"0,1,2,3",19,45,51,139
95,137,11,0.000790199963375926,7.183636030690236e-05,4,"0,1,2,3",37,28,175,14
96,138,9,0.000924200052395463,0.000102688894710607,4,"0,1,2,3",20,157,72,5
97,139,13,0.0008273998973891139,6.364614595300876e-05,4,"0,1,2,3",122,21,36,75
98,140,7,0.0005522000137716532,7.888571625309331e-05,4,"0,1,2,3",14,27,59,154
99,141,9,0.000596500001847744,6.627777798308266e-05,4,"0,1,2,3",71,25,24,134
100,142,7,0.000697100069373846,9.958572419626372e-05,4,"0,1,2,3",14,148,67,25
TOTAL_RUNTIME,,,0.2856189999729395,,,,,,,
