iterasi,objective_value
1,20.26800777324319
2,20.24190004367255
3,20.239069267424945
4,20.237767536322536
5,20.236495936075666
6,20.23485859951317
7,20.232625620311254
8,20.229573457296674
9,20.22545501097835
10,20.22001654917359
11,20.213055016643004
12,20.204520400314266
13,20.194647759836194
14,20.184052881968555
15,20.173677401685293
16,20.16451679207355
17,20.15725125845569
18,20.152040372640524
19,20.148609395817807
20,20.14649519272551
21,20.145252577277745
22,20.144544618882982
23,20.14414849639732
24,20.14392838922376
25,20.143805582155174
26,20.143735881938895
27,20.143694976299606
28,20.143669664697455
29,20.143652839449942
30,20.1436406920673
31,20.143631185652392
32,20.14362322938861
33,20.143616235984595
34,20.1436098857126
35,20.143604001059863
36,20.143598480294376
37,20.143593262295767
38,20.143588307937158
39,20.143583590215123
40,20.14357908899991
41,20.143574788225884
42,20.14357067437203
43,20.143566735625907
44,20.14356296141125
45,20.143559342110276
46,20.143555868891497
47,20.143552533595606
48,20.143549328654345
49,20.14354624702867
50,20.14354328215895
51,20.143540427923067
52,20.14353767860013
53,20.143535028838375
54,20.14353247362648
55,20.143530008267597
56,20.143527628355898
57,20.14352532975506
58,20.143523108578748
59,20.143520961172662
60,20.143518884098114
61,20.143516874116933
62,20.143514928177602
63,20.143513043402486
64,20.14351121707608
65,20.143509446634166
66,20.143507729653777
67,20.14350606384398
68,20.14350444703732
69,20.143502877181888
70,20.143501352334006
71,20.143499870651432
72,20.14349843038705
73,20.14349702988303
74,20.14349566756536
75,20.143494341938833
76,20.143493051582308
77,20.143491795144353
78,20.143490571339143
79,20.143489378942668
80,20.143488216789173
81,20.14348708376786
82,20.143485978819758
83,20.143484900934858
84,20.14348384914939
85,20.143482822543284
86,20.14348182023781
87,20.14348084139333
88,20.143479885207235
89,20.143478950911955
90,20.143478037773164
91,20.143477145088006
92,20.143476272183513
93,20.143475418415054
94,20.143474583164913
95,20.143473765840916
96,20.14347296587519
97,20.14347218272294
98,20.14347141586133
99,20.143470664788413
100,20.143469929022114
101,20.143469208099308
102,20.143468501574894
103,20.14346780902096
104,20.143467130025993
105,20.14346646419409
106,20.143465811144274
107,20.143465170509792
108,20.143464541937483
109,20.14346392508717
110,20.143463319631074
111,20.14346272525328
112,20.143462141649195
113,20.143461568525083
114,20.14346100559758
115,20.14346045259324
116,20.14345990924815
117,20.143459375307486
118,20.143458850525157
119,20.143458334663435
120,20.14345782749262
121,20.14345732879068
122,20.14345683834299
123,20.14345635594197
124,20.143455881386863
125,20.143455414483423
126,20.143454955043673
127,20.143454502885657
128,20.14345405783321
129,20.143453619715725
130,20.143453188367936
131,20.143452763629725
132,20.14345234534594
133,20.14345193336616
134,20.143451527544563
135,20.143451127739745
136,20.143450733814554
137,20.14345034563592
138,20.143449963074726
139,20.143449586005655
140,20.143449214307058
141,20.143448847860824
142,20.143448486552245
143,20.143448130269896
144,20.143447778905546
145,20.143447432354005
146,20.143447090513057
147,20.143446753283328
148,20.14344642056821
149,20.143446092273763
150,20.143445768308606
151,20.143445448583858
152,20.143445133013042
153,20.143444821512006
154,20.14344451399884
155,20.14344421039381
156,20.1434439106193
157,20.14344361459971
158,20.143443322261433
159,20.143443033532748
160,20.14344274834379
161,20.143442466626485
162,20.143442188314495
163,20.14344191334314
164,20.143441641649392
165,20.14344137317179
166,20.143441107850386
167,20.143440845626742
168,20.14344058644383
169,20.14344033024603
170,20.14344007697906
171,20.143439826589965
172,20.143439579027053
173,20.14343933423986
174,20.14343909217913
175,20.14343885279677
176,20.143438616045806
177,20.143438381880372
178,20.14343815025567
179,20.14343792112792
180,20.143437694454356
181,20.143437470193206
182,20.143437248303613
183,20.143437028745673
184,20.14343681148037
185,20.143436596469556
186,20.14343638367593
187,20.143436173063023
188,20.143435964595177
189,20.14343575823749
190,20.143435553955847
191,20.143435351716857
192,20.143435151487846
193,20.14343495323686
194,20.143434756932603
195,20.14343456254446
196,20.143434370042456
197,20.143434179397254
198,20.143433990580117
199,20.14343380356292
200,20.143433618318113
