k,KMeans_J,FCM_J_min,FRCM_J_min,FAFRCM_J_min,tanpsi_KMeans,tanpsi_FCM,tanpsi_FRCM,tanpsi_FAFRCM
2,335.31440262947916,270.4572173784916,335.31440262947916,288.5772594090264,0.0,0.0,0.0,0.0
3,186.22851854229896,138.17048991803966,186.22851854229896,161.6339617731113,-0.012435657873110658,-0.015184625324071683,-0.012448244211480499,-0.011006258361642329
4,133.9950082594027,94.20782481182292,134.0293327716661,108.68308525317349,-0.033357920362275736,-0.020816077187215436,-0.0357323146028265,0.6141757911097676
5,114.9605391558357,71.2632499020077,115.82345017345848,110.382422310943,-0.0023841518986485073,-0.01874848903757216,-0.003314891794449801,0.0
6,96.75465655762807,55.23317763206346,98.65689328771782,92.08453074363374,-0.00331489179444994,-0.01841518543907469,0.0,3.92245137992256
7,79.58809967188743,42.87084191602604,79.58809967188742,92.3984989471216,0.0,0.0,0.0,0.0
