Tahun,Provinsi,u_cluster_0,u_cluster_1,u_cluster_2,label,region_type,n_active_clusters
2021,Sulawesi Tengah,0.5558821506196371,0.0,0.44411784938036286,0,boundary,2
2021,Sulawesi Tenggara,0.0,0.0,1.0,2,lower,1
2021,Sulawesi Utara,0.0,0.0,1.0,2,lower,1
2021,Sumatera Barat,0.0,0.0,1.0,2,lower,1
2021,Sumatera Selatan,0.0,0.0,1.0,2,lower,1
2021,Sumatera Utara,1.0,0.0,0.0,0,lower,1
2022,Aceh,0.4607799023285227,0.0,0.5392200976714773,2,boundary,2
2022,Bali,0.0,0.0,1.0,2,lower,1
2022,Banten,0.0,1.0,0.0,1,lower,1
2022,Bengkulu,0.0,0.0,1.0,2,lower,1
2022,DKI Jakarta,0.0,0.0,1.0,2,lower,1
2022,Daerah Istimewa Yogyakarta,0.0,0.0,1.0,2,lower,1
2022,Gorontalo,0.41027330315937777,0.0,0.5897266968406223,2,boundary,2
2022,Jambi,0.0,0.0,1.0,2,lower,1
2022,Jawa Barat,0.0,1.0,0.0,1,lower,1
2022,Jawa Tengah,0.0,0.0,1.0,2,lower,1
2022,Jawa Timur,0.0,0.0,1.0,2,lower,1
2022,Kalimantan Barat,0.0,0.0,1.0,2,lower,1
2022,Kalimantan Selatan,0.0,0.0,1.0,2,lower,1
2022,Kalimantan Tengah,0.0,0.0,1.0,2,lower,1
2022,Kalimantan Timur,0.0,0.0,1.0,2,lower,1
2022,Kalimantan Utara,0.0,0.0,1.0,2,lower,1
2022,Kepulauan Bangka Belitung,0.0,0.0,1.0,2,lower,1
2022,Kepulauan Riau,0.0,0.0,1.0,2,lower,1
2022,Lampung,0.0,0.0,1.0,2,lower,1
2022,Maluku,0.0,0.0,1.0,2,lower,1
2022,Maluku Utara,1.0,0.0,0.0,0,lower,1
2022,Nusa Tenggara Barat,0.476413013493198,0.0,0.5235869865068019,2,boundary,2
2022,Nusa Tenggara Timur,0.4824399453664079,0.0,0.5175600546335921,2,boundary,2
2022,Papua,1.0,0.0,0.0,0,lower,1
2022,Papua Barat,1.0,0.0,0.0,0,lower,1
2022,Papua Barat Daya,1.0,0.0,0.0,0,lower,1
2022,Papua Pegunungan,1.0,0.0,0.0,0,lower,1
2022,Papua Selatan,0.0,0.0,1.0,2,lower,1
2022,Papua Tengah,0.46742089987462265,0.0,0.5325791001253773,2,boundary,2
2022,Riau,0.0,0.0,1.0,2,lower,1
2022,Sulawesi Barat,0.0,0.0,1.0,2,lower,1
2022,Sulawesi Selatan,0.0,0.0,1.0,2,lower,1
2022,Sulawesi Tengah,0.5444192882495612,0.0,0.45558071175043885,0,boundary,2
2022,Sulawesi Tenggara,0.0,0.0,1.0,2,lower,1
2022,Sulawesi Utara,0.0,0.0,1.0,2,lower,1
2022,Sumatera Barat,0.0,0.0,1.0,2,lower,1
2022,Sumatera Selatan,0.0,0.0,1.0,2,lower,1
2022,Sumatera Utara,0.0,0.0,1.0,2,lower,1
2023,Aceh,0.5295342299864053,0.0,0.47046577001359463,0,boundary,2
2023,Bali,0.0,0.0,1.0,2,lower,1
2023,Banten,0.0,1.0,0.0,1,lower,1
2023,Bengkulu,0.0,0.0,1.0,2,lower,1
2023,DKI Jakarta,0.0,1.0,0.0,1,lower,1
2023,Daerah Istimewa Yogyakarta,0.0,1.0,0.0,1,lower,1
2023,Gorontalo,0.5115041115257063,0.0,0.48849588847429376,0,boundary,2
2023,Jambi,0.0,0.0,1.0,2,lower,1
2023,Jawa Barat,0.0,1.0,0.0,1,lower,1
2023,Jawa Tengah,0.0,0.0,1.0,2,lower,1
2023,Jawa Timur,0.0,0.0,1.0,2,lower,1
2023,Kalimantan Barat,0.0,0.0,1.0,2,lower,1
2023,Kalimantan Selatan,0.0,0.0,1.0,2,lower,1
2023,Kalimantan Tengah,0.0,0.0,1.0,2,lower,1
2023,Kalimantan Timur,0.0,0.0,1.0,2,lower,1
2023,Kalimantan Utara,0.0,0.0,1.0,2,lower,1
2023,Kepulauan Bangka Belitung,0.0,0.0,1.0,2,lower,1
2023,Kepulauan Riau,0.0,0.0,1.0,2,lower,1
2023,Lampung,0.0,0.0,1.0,2,lower,1
2023,Maluku,0.4237623936158024,0.0,0.5762376063841975,2,boundary,2
2023,Maluku Utara,0.0,0.0,1.0,2,lower,1
2023,Nusa Tenggara Barat,0.0,0.0,1.0,2,lower,1
2023,Nusa Tenggara Timur,1.0,0.0,0.0,0,lower,1
2023,Papua,1.0,0.0,0.0,0,lower,1
2023,Papua Barat,1.0,0.0,0.0,0,lower,1
2023,Papua Barat Daya,1.0,0.0,0.0,0,lower,1
2023,Papua Pegunungan,1.0,0.0,0.0,0,lower,1
2023,Papua Selatan,1.0,0.0,0.0,0,lower,1
2023,Papua Tengah,0.46742089987462265,0.0,0.5325791001253773,2,boundary,2
2023,Riau,0.4513170555490699,0.0,0.54868294445093,2,boundary,2
2023,Sulawesi Barat,0.0,0.0,1.0,2,lower,1
2023,Sulawesi Selatan,0.0,0.0,1.0,2,lower,1
2023,Sulawesi Tengah,0.5150720811375249,0.0,0.48492791886247505,0,boundary,2
2023,Sulawesi Tenggara,0.0,0.0,1.0,2,lower,1
2023,Sulawesi Utara,0.0,0.0,1.0,2,lower,1
2023,Sumatera Barat,0.0,0.0,1.0,2,lower,1
2023,Sumatera Selatan,0.0,0.0,1.0,2,lower,1
