frcm_iter,refine_objective
1,38.66157116376894
2,38.014258957860534
3,37.69367399679456
4,37.69058995749737
5,37.597679453959586
6,37.53383299364881
7,37.52897175814586
8,37.40148154816687
9,37.42286983172438
10,37.422391981784955
11,37.422180108063586
12,37.42200162382219
13,37.42184850429004
14,37.421716353383644
15,37.42160188759213
16,37.42150248632298
17,37.421415996298336
18,37.42134061999557
19,37.421274841766206
20,37.42121737459196
21,37.42116711975521
22,37.42112313531368
23,37.42108461092414
24,37.42105084742325
25,37.421021240072136
26,37.42099526468021
27,37.420972466027266
28,37.42095244814227
29,37.42093486609765
30,37.420919419050136
31,37.42090584431472
32,37.420893912299974
33,37.42088342216542
34,37.396760333444824
35,37.396618913339836
36,37.39661106702849
37,37.39660465979193
38,37.380777087483665
39,37.38068656940675
40,37.38068098153649
41,37.380676627557676
42,37.38067284915063
43,37.38066956563814
44,37.380666711987665
45,37.38066423180703
46,37.380662076134016
47,37.38066020244723
48,37.38065857381282
49,37.38065715814615
50,37.38065592757207
51,37.38065485787055
52,37.38065392799572
53,37.38065311965871
54,37.38065241696552
55,37.38065180610279
56,37.38065127506489
57,37.38065081341699
58,37.38065041208918
59,37.380650063197784
60,37.38064975989
61,37.380649496209
62,37.38064926697669
63,37.38064906769182
64,37.38064889444145
65,37.38064874382408
66,37.380648612882666
67,37.38064849904662
68,37.380648400081235
69,37.38064831404379
70,37.3806482392454
71,37.380648174217846
72,37.3806481176847
73,37.38064806853633
74,37.38064802580804
75,37.38064798866118
76,37.380647956366644
77,37.38064792829059
78,37.380647903881965
79,37.380647882661705
80,37.380647864213316
81,37.38064784817474
82,37.38064783423117
83,37.38064782210897
