frcm_iter,refine_objective
1,38.87634307562251
2,37.516829294208925
3,37.133744012661204
4,37.122642795947655
5,37.12224228899974
6,37.12215165388332
7,37.122123472402166
8,37.12211337677594
9,37.12210921470427
10,37.122107239343954
11,37.12210617241468
12,37.12210552867859
13,37.12210510389452
14,37.12210480377618
15,37.122104581071596
16,37.12210441019724
17,37.12210427619981
18,37.12210416965894
19,37.12210408421832
20,37.122104015336674
21,37.12210395962535
22,37.122103914477144
23,37.12210387784485
24,37.12210384809982
25,37.12210382393569
26,37.12210380429934
27,37.12210378833917
28,37.12210377536512
