Run,Metode,k,Silhouette,File
100,K-Means,4,0.2709980444905678,kmeans_k4_run100.csv
1,FCM,4,-0.05332322965209854,fcm_k4_run1.csv
2,FCM,4,-0.044079282099342094,fcm_k4_run2.csv
3,FCM,4,-0.044079282099342094,fcm_k4_run3.csv
4,FCM,4,-0.044079282099342094,fcm_k4_run4.csv
5,FCM,4,-0.044079282099342094,fcm_k4_run5.csv
6,FCM,4,-0.044079282099342094,fcm_k4_run6.csv
7,FCM,4,-0.044079282099342094,fcm_k4_run7.csv
8,FCM,4,-0.0008538771279628696,fcm_k4_run8.csv
9,FCM,4,-0.044079282099342094,fcm_k4_run9.csv
10,FCM,4,-0.044079282099342094,fcm_k4_run10.csv
11,FCM,4,-0.0008538771279628696,fcm_k4_run11.csv
12,FCM,4,-0.044079282099342094,fcm_k4_run12.csv
13,FCM,4,-0.044079282099342094,fcm_k4_run13.csv
14,FCM,4,-0.14933934983557967,fcm_k4_run14.csv
15,FCM,4,-0.2258352221623931,fcm_k4_run15.csv
16,FCM,4,-0.044079282099342094,fcm_k4_run16.csv
17,FCM,4,-0.044079282099342094,fcm_k4_run17.csv
18,FCM,4,-0.044079282099342094,fcm_k4_run18.csv
19,FCM,4,-0.05332322965209854,fcm_k4_run19.csv
20,FCM,4,-0.044079282099342094,fcm_k4_run20.csv
21,FCM,4,-0.05332322965209854,fcm_k4_run21.csv
22,FCM,4,-0.044079282099342094,fcm_k4_run22.csv
23,FCM,4,-0.03555666445665911,fcm_k4_run23.csv
24,FCM,4,-0.044079282099342094,fcm_k4_run24.csv
25,FCM,4,-0.044079282099342094,fcm_k4_run25.csv
26,FCM,4,-0.03555666445665911,fcm_k4_run26.csv
27,FCM,4,-0.03555666445665911,fcm_k4_run27.csv
28,FCM,4,-0.044079282099342094,fcm_k4_run28.csv
29,FCM,4,-0.044079282099342094,fcm_k4_run29.csv
30,FCM,4,-0.044079282099342094,fcm_k4_run30.csv
31,FCM,4,-0.0008538771279628696,fcm_k4_run31.csv
32,FCM,4,-0.05332322965209854,fcm_k4_run32.csv
33,FCM,4,0.016425954759138897,fcm_k4_run33.csv
34,FCM,4,-0.0008538771279628696,fcm_k4_run34.csv
35,FCM,4,-0.044079282099342094,fcm_k4_run35.csv
36,FCM,4,-0.05332322965209854,fcm_k4_run36.csv
37,FCM,4,0.016425954759138897,fcm_k4_run37.csv
38,FCM,4,-0.0008538771279628696,fcm_k4_run38.csv
39,FCM,4,0.03885448070756233,fcm_k4_run39.csv
40,FCM,4,-0.044079282099342094,fcm_k4_run40.csv
41,FCM,4,-0.044079282099342094,fcm_k4_run41.csv
42,FCM,4,-0.044079282099342094,fcm_k4_run42.csv
43,FCM,4,-0.03555666445665911,fcm_k4_run43.csv
44,FCM,4,-0.044079282099342094,fcm_k4_run44.csv
45,FCM,4,-0.2258352221623931,fcm_k4_run45.csv
46,FCM,4,-0.044079282099342094,fcm_k4_run46.csv
47,FCM,4,-0.05332322965209854,fcm_k4_run47.csv
48,FCM,4,-0.05332322965209854,fcm_k4_run48.csv
49,FCM,4,-0.044079282099342094,fcm_k4_run49.csv
50,FCM,4,-0.044079282099342094,fcm_k4_run50.csv
51,FCM,4,-0.044079282099342094,fcm_k4_run51.csv
52,FCM,4,-0.044079282099342094,fcm_k4_run52.csv
53,FCM,4,-0.044079282099342094,fcm_k4_run53.csv
54,FCM,4,-0.044079282099342094,fcm_k4_run54.csv
55,FCM,4,-0.044079282099342094,fcm_k4_run55.csv
56,FCM,4,-0.044079282099342094,fcm_k4_run56.csv
57,FCM,4,-0.05332322965209854,fcm_k4_run57.csv
58,FCM,4,-0.044079282099342094,fcm_k4_run58.csv
59,FCM,4,0.016425954759138897,fcm_k4_run59.csv
60,FCM,4,-0.044079282099342094,fcm_k4_run60.csv
61,FCM,4,-0.05332322965209854,fcm_k4_run61.csv
62,FCM,4,-0.044079282099342094,fcm_k4_run62.csv
63,FCM,4,-0.044079282099342094,fcm_k4_run63.csv
64,FCM,4,-0.2258352221623931,fcm_k4_run64.csv
65,FCM,4,-0.044079282099342094,fcm_k4_run65.csv
66,FCM,4,-0.044079282099342094,fcm_k4_run66.csv
67,FCM,4,0.016425954759138897,fcm_k4_run67.csv
68,FCM,4,-0.044079282099342094,fcm_k4_run68.csv
69,FCM,4,-0.044079282099342094,fcm_k4_run69.csv
70,FCM,4,-0.05332322965209854,fcm_k4_run70.csv
71,FCM,4,-0.044079282099342094,fcm_k4_run71.csv
72,FCM,4,-0.044079282099342094,fcm_k4_run72.csv
73,FCM,4,-0.05332322965209854,fcm_k4_run73.csv
74,FCM,4,-0.044079282099342094,fcm_k4_run74.csv
75,FCM,4,-0.044079282099342094,fcm_k4_run75.csv
76,FCM,4,-0.044079282099342094,fcm_k4_run76.csv
77,FCM,4,-0.044079282099342094,fcm_k4_run77.csv
78,FCM,4,-0.044079282099342094,fcm_k4_run78.csv
79,FCM,4,-0.044079282099342094,fcm_k4_run79.csv
80,FCM,4,-0.05332322965209854,fcm_k4_run80.csv
81,FCM,4,-0.2258352221623931,fcm_k4_run81.csv
82,FCM,4,0.016425954759138897,fcm_k4_run82.csv
83,FCM,4,-0.044079282099342094,fcm_k4_run83.csv
84,FCM,4,-0.044079282099342094,fcm_k4_run84.csv
85,FCM,4,-0.044079282099342094,fcm_k4_run85.csv
86,FCM,4,-0.05332322965209854,fcm_k4_run86.csv
87,FCM,4,-0.044079282099342094,fcm_k4_run87.csv
88,FCM,4,0.03885448070756233,fcm_k4_run88.csv
89,FCM,4,-0.044079282099342094,fcm_k4_run89.csv
90,FCM,4,0.016425954759138897,fcm_k4_run90.csv
91,FCM,4,-0.044079282099342094,fcm_k4_run91.csv
92,FCM,4,-0.044079282099342094,fcm_k4_run92.csv
93,FCM,4,-0.044079282099342094,fcm_k4_run93.csv
94,FCM,4,-0.044079282099342094,fcm_k4_run94.csv
95,FCM,4,-0.05332322965209854,fcm_k4_run95.csv
96,FCM,4,-0.05332322965209854,fcm_k4_run96.csv
97,FCM,4,-0.044079282099342094,fcm_k4_run97.csv
98,FCM,4,-0.044079282099342094,fcm_k4_run98.csv
99,FCM,4,-0.044079282099342094,fcm_k4_run99.csv
100,FCM,4,-0.0008538771279628696,fcm_k4_run100.csv
1,FRCM,4,0.1517468118358523,frcm_k4_run1.csv
2,FRCM,4,0.32568256708092913,frcm_k4_run2.csv
3,FRCM,4,0.2996373776148387,frcm_k4_run3.csv
4,FRCM,4,0.18773012662777214,frcm_k4_run4.csv
5,FRCM,4,0.28573909881851994,frcm_k4_run5.csv
6,FRCM,4,0.32568256708092913,frcm_k4_run6.csv
7,FRCM,4,0.30620561565133003,frcm_k4_run7.csv
8,FRCM,4,0.30620561565133003,frcm_k4_run8.csv
9,FRCM,4,0.30620561565133003,frcm_k4_run9.csv
10,FRCM,4,0.3150440186665319,frcm_k4_run10.csv
11,FRCM,4,0.27893859719754305,frcm_k4_run11.csv
12,FRCM,4,0.2005346351838395,frcm_k4_run12.csv
13,FRCM,4,0.20024872196455698,frcm_k4_run13.csv
