N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,avg_final_objective,std_final_objective,avg_max_cluster_ratio,std_max_cluster_ratio,avg_boundary_ratio,n_imbalanced_runs,score_select
27,1000,1.0,0.9718663570448597,1.1070539456166488,0.10003869486045522,38.18224645471044,8.429214277245212,0.5433070866141733,0.15782442718761766,0.5716535433070866,0,43.61531732085217
28,1000,1.0,0.9704157225771411,1.1293390775867942,0.10135143195749838,39.20870039138398,6.689704743657386,0.5086614173228347,0.12537994831815363,0.5874015748031496,0,44.295314564612326
40,1000,1.0,0.97110059020622,1.1425845583523526,0.10700680697585374,39.433973535288075,6.966063908916093,0.5149606299212598,0.12624235372593362,0.5937007874015748,0,44.583579834500675
24,1000,1.0,0.9719750898295066,1.1682886059551023,0.10242440037268422,41.30224531572448,6.194172006813501,0.5535433070866141,0.09260759770307347,0.46299212598425193,0,46.83767838659062
26,1000,1.0,0.957991415886823,1.5988870184420128,0.10620080212995532,41.53303732893083,6.3421070551905485,0.5637795275590551,0.14586600890469686,0.43464566929133863,0,47.17083260452138
26,1000,1.0,0.9714547616752034,1.2014476726517347,0.1019240457195847,41.545276016055865,6.325974928500481,0.562992125984252,0.14649161381999254,0.43464566929133863,0,47.175197275898384
26,1000,1.0,0.9579190777615456,1.2123983299937315,0.10304391831710479,41.87130943148015,6.874474624059008,0.5606299212598425,0.15333116780646402,0.4299212598425197,0,47.47760864407857
24,1000,1.0,0.9674786632319894,1.5130793658201152,0.10368967285270815,42.12181617991443,6.681988962183114,0.537007874015748,0.10317665089952562,0.5000000000000001,0,47.491894920071914
25,1000,1.0,0.9520441607334887,1.626354568102872,0.10152788265578604,43.3185588854855,8.808633966086624,0.5929133858267717,0.1142953460419638,0.34488188976377954,0,49.24769274375322
24,1000,1.0,0.9607351664014362,1.4971136429824545,0.10265704034568059,44.05339513011478,5.488303589703029,0.5519685039370079,0.0939287902894277,0.3661417322834646,0,49.57308016948486
26,1000,1.0,0.9532265368231411,1.5921614605047385,0.10723083003948793,43.93579284087532,5.372514265103282,0.5811023622047243,0.13738972942645858,0.30708661417322836,0,49.74681646292257
26,1000,1.0,0.9728102097799877,1.0781353408338634,0.10938525957337655,43.73443882287414,5.2761068594537885,0.6062992125984252,0.09956038280631328,0.30944881889763776,0,49.79743094885839
26,1000,1.0,0.9676362446401503,1.3424975420171092,0.20682526439708587,44.301201830094755,5.54997813247659,0.5889763779527559,0.11530796413020732,0.3385826771653543,0,50.19096560962231
23,1000,1.0,0.9720098283641709,1.1692784490790824,0.16581027973890683,44.92047121812957,6.378468761036211,0.5889763779527559,0.14560543397100537,0.33070866141732286,0,50.81023499765713
28,1000,1.0,0.9733004352897613,0.9798088603953317,0.13973577631846734,44.963088187956636,6.37536542323415,0.5897637795275591,0.14525371663845435,0.33070866141732286,0,50.86072598323223
30,1000,1.0,0.9731455283118711,0.9919779822026933,0.14082115482021276,45.22386421051548,4.8391946416628056,0.5937007874015748,0.11560331625110698,0.33858267716535434,0,51.16087208453123
24,1000,1.0,0.9545466621621103,1.4964552040386891,0.11060366568606003,44.62697673898434,5.859212221772584,0.6811023622047244,0.10401452609151893,0.2503937007874016,0,51.438000361031584
