fa_iter,best_fa_objective_so_far
1,47.8673171437906
2,47.8673171437906
3,47.8673171437906
4,47.8673171437906
5,47.8673171437906
6,47.8673171437906
7,47.8673171437906
8,47.8673171437906
9,47.8673171437906
10,47.8673171437906
11,47.8673171437906
12,47.8673171437906
13,47.8673171437906
14,47.8673171437906
15,47.8673171437906
16,47.8673171437906
17,47.8673171437906
18,47.8673171437906
19,47.8673171437906
20,47.8673171437906
21,47.8673171437906
22,47.8673171437906
23,47.8673171437906
24,47.8673171437906
25,47.8673171437906
26,47.8673171437906
27,47.8673171437906
28,47.8673171437906
29,47.8673171437906
30,47.8673171437906
31,47.8673171437906
32,47.8673171437906
33,47.8673171437906
34,47.8673171437906
35,47.8673171437906
36,47.8673171437906
37,47.8673171437906
38,47.8673171437906
39,47.8673171437906
40,47.8673171437906
41,47.8673171437906
42,47.8673171437906
43,47.8673171437906
44,47.8673171437906
45,47.8673171437906
46,47.8673171437906
47,47.8673171437906
48,47.8673171437906
49,47.8673171437906
50,47.8673171437906
51,47.8673171437906
52,47.8673171437906
53,47.8673171437906
54,47.8673171437906
55,47.8673171437906
56,47.8673171437906
57,47.8673171437906
58,47.8673171437906
59,47.8673171437906
60,47.8673171437906
61,47.8673171437906
62,47.8673171437906
63,47.8673171437906
64,47.8673171437906
65,47.8673171437906
66,47.8673171437906
67,47.8673171437906
68,47.8673171437906
69,47.8673171437906
70,47.8673171437906
71,47.8673171437906
72,47.8673171437906
73,47.8673171437906
74,47.8673171437906
75,47.8673171437906
76,47.8673171437906
77,47.8673171437906
78,47.366313732872655
79,47.2205437871691
80,46.88624680044707
81,46.88624680044707
82,46.88624680044707
83,46.88624680044707
84,46.88624680044707
85,46.88624680044707
86,46.88624680044707
87,46.88624680044707
88,46.88624680044707
89,46.88624680044707
90,46.88624680044707
91,46.52672494607961
92,46.52672494607961
93,46.52672494607961
94,46.41104098041846
95,46.41104098041846
96,46.41104098041846
97,46.30779462537369
98,45.94078566892891
99,45.94078566892891
100,45.94078566892891
