frcm_iter,refine_objective
1,44.472428080306464
2,37.52264627778943
3,37.2777751788105
4,37.27045344784586
5,37.26789572840945
6,37.2667122457933
7,37.26613037100786
8,37.265836337822165
9,37.26568477753929
10,37.265604943248405
11,37.2655616407008
12,37.265537161687085
13,37.26552253169055
14,37.26551317373655
15,37.26550673564489
16,37.26550199482351
17,37.26549830438446
18,37.26549531242178
19,37.26549281946102
20,37.26549070589522
21,37.265488894906035
22,37.26548733339665
23,37.26548598208171
24,37.26548481024558
25,37.26548379289167
26,37.26548290912628
27,37.265482141188535
28,37.26548147382621
29,37.265480893862915
30,37.26548038987662
31,37.26547995194739
32,37.26547957145121
33,37.2654792408871
34,37.265478953729655
35,37.265478704302026
36,37.265478487665916
37,37.26547829952603
38,37.265478136146825
39,37.26547799428009
40,37.26547787110175
41,37.265477764156884
42,37.265477671311736
43,37.265477590711924
44,37.26547752074613
45,37.26547746001432
46,37.26547740730024
47,37.26547736154737
48,37.265477321838006
49,37.26547728737518
50,37.26547725746671
51,37.2654772315116
52,37.26547720898795
53,37.265477189442656
54,37.26547717248233
55,37.265477157765446
56,37.26547714499555
57,37.265477133915304
58,37.26547712430133
59,37.26547711595974
60,37.26547710872227
61,37.26547710244287
62,37.26547709699481
63,37.26547709226807
64,37.26547708816722
65,37.26547708460943
66,37.2654770815228
67,37.265477078844974
68,37.26547707652183
69,37.26547707450641
70,37.26547707275797
71,37.26547707124115
72,37.26547706992527
73,37.26547706878373
74,37.26547706779344
75,37.26547706693436
76,37.2654770661891
77,37.2654770655426
78,37.26547706498176
79,37.265477064495244
80,37.2654770640732
81,37.26547706370708
82,37.2654770633895
83,37.265477063113984
84,37.26547706287499
85,37.26547706266767
86,37.26547706248783
87,37.265477062331826
88,37.265477062196496
89,37.2654770620791
