frcm_iter,refine_objective
1,43.293330423296496
2,41.394354007228586
3,43.697825358099124
4,48.112433621004406
5,49.68712919211279
6,51.38183682304091
7,54.88641978442854
8,55.83924851674428
9,55.703748024593374
10,55.377392675337305
11,55.869251180564945
12,55.345335265568266
13,55.40126251731579
14,55.002624466809394
15,54.954683343107774
16,54.859164466960436
17,54.79927286326638
18,54.76189743146843
19,54.845768815858065
20,54.94815217756539
21,55.08040360818299
22,55.07892443728058
23,55.12285434363258
24,55.12248107735566
25,55.12247644585113
26,55.1224763357521
27,55.12247633310878
