frcm_iter,refine_objective
1,31.577108563306425
2,28.33741689501897
3,28.55561376161382
4,33.90802780913373
5,40.04382920619102
6,39.52411693830726
7,38.657279267976925
8,38.44050417305847
9,38.21135839110394
10,37.72113857367774
11,38.13777421457689
12,37.95680894074836
13,37.90852871326936
14,37.82702905015164
15,37.68309477169392
16,37.65783379401935
17,37.68006029454074
18,37.67979860074237
19,37.67976328437855
20,37.67973726331962
21,37.67971666489899
22,37.67970008945665
23,37.679686610790036
24,37.679675572884825
25,37.679666490930785
26,37.679658994639226
27,37.67965279406033
28,37.679647657983686
29,37.6796433996398
30,37.67963986679595
31,37.679636934603444
32,37.67963450024331
33,37.67963247880044
34,37.67963080001317
35,37.679629405670646
36,37.67962824750467
37,37.679627285468385
38,37.67962648632292
39,37.679625822472694
40,37.67962527100308
41,37.67962481288398
42,37.67962443230989
43,37.679624116152695
44,37.67962385350762
45,37.67962363531639
46,37.67962345405441
47,37.67962330347092
48,37.67962317837337
49,37.679623074448116
50,37.67962298811172
51,37.67962291638727
52,37.679622856801714
53,37.6796228073006
54,37.67962276617717
55,37.679622732013556
56,37.67962270363185
57,37.6796226800535
58,37.67962266046557
59,37.67962264419273
60,37.679622630673904
61,37.67962261944302
62,37.67962261011286
63,37.679622602361746
64,37.679622595922424
65,37.67962259057289
66,37.67962258612872
67,37.679622582436686
68,37.67962257936948
69,37.67962257682137
70,37.67962257470452
71,37.67962257294591
72,37.67962257148493
73,37.679622570271206
74,37.67962256926289
75,37.67962256842523
76,37.67962256772933
77,37.679622567151206
78,37.67962256667093
79,37.679622566271924
80,37.67962256594045
81,37.67962256566508
82,37.679622565436304
83,37.67962256524625
84,37.679622565088366
85,37.67962256495719
86,37.67962256484823
